Title,Artist,cnt
그날에 우리,어반 자카파(Urban Zakapa),45.0
청혼,노을,42.0
High High,G-DRAGON,42.0
사랑비,김태우,41.0
"수고했어, 오늘도",옥상달빛,39.0
다행이다,이적,38.0
낙원 (feat. 이재훈),싸이(Psy),36.0
자니 (feat. Dynamic Duo),프라이머리(Primary),35.0
인형의 꿈,러브홀릭(Loveholic),35.0
죽일 놈 (Guilty),다이나믹 듀오(Dynamic Duo),34.0
사랑합니다...,팀(Tim),34.0
기억의 습작,전람회,32.0
라라라,이수영,32.0
사랑의 時,엠씨 더 맥스(M.C the Max),31.0
다시 와주라,바이브(Vibe),31.0
내가 제일 잘 나가,투애니원(2NE1),30.0
그땐 그땐 그땐,슈프림팀(Supreme Team),30.0
널 생각해,원 모어 찬스(one more chance),30.0
행복한 나를,에코(ECO),30.0
너랑 나,아이유(IU),29.0
보여줄게,에일리(Ailee),28.0
Officially Missing You,긱스(Geeks),28.0
어떤가요,화요비,28.0
바람이 분다,이소라,27.0
내게 오는 길 (Bonus Track),성시경,27.0
좋은 날,아이유(IU),27.0
거짓말,BIGBANG,27.0
나였으면,나윤권,26.0
붉은 노을,BIGBANG,26.0
애송이의 사랑,양파,26.0
내 삶의 반,한경일,26.0
사랑은 (Song 정인),리쌍(Leessang),26.0
그녀를 사랑해줘요,하동균,26.0
사랑에 아파본 적 있나요,린(LYn),26.0
들었다 놨다,데이브레이크(daybreak),25.0
꽃피는 봄이오면,BMK,25.0
하늘을 달리다,이적,25.0
오늘밤은 어둠이 무서워요,10cm(십센치),25.0
그런가봐요...,브이원 (V.One),25.0
그대 내게 다시 (Guitar ver.),럼블 피쉬(Rumble Fish),24.0
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),24.0
사랑.. 그 놈,바비 킴(Bobby Kim),24.0
"Hawaian Couple (영화 '내 사랑' 주제곡, 에뛰드 복숭아송 원곡)",허밍 어반 스테레오(Humming Urban Stereo),24.0
파도,유엔(UN),24.0
바보,박효신,24.0
좋을텐데,성시경,23.0
Bubble Pop!,현아 [포미닛],23.0
FANTASTIC BABY,BIGBANG,23.0
붙잡고도,노을,23.0
내 여친,포맨,23.0
나 돌아가,임정희,23.0
내가 너의 곁에 잠시 살았다는 걸,김연우,23.0
Go Away,투애니원(2NE1),22.0
