Title,Artist,cnt
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),50.0
편지,김광진,47.0
끝사랑,김범수,41.0
소주 한 잔,임창정,40.0
넌 이별 난 아직 (With 한소현 Of 3rd Coast),스탠딩 에그(Standing Egg),37.0
가을이 오면,서영은,36.0
보고 싶다,김범수,36.0
좋은 날,아이유(IU),35.0
바람이 분다,이소라,35.0
잘못된 만남,김건모,34.0
가로수 그늘 아래 서면,장재인,34.0
슬퍼지려 하기 전에,쿨(COOL),33.0
All For You,쿨(COOL),33.0
넌 감동이었어,성시경,33.0
칵테일 사랑,마로니에(Maronnier),31.0
감기,이기찬,31.0
그런 사람 또 없습니다,이승철,31.0
여전히 아름다운지 (feat. 김연우),토이(Toy),30.0
넋,40(포티),30.0
사랑할수록,부활,30.0
좋아보여 (feat. 검정치마),버벌진트(Verbal Jint),30.0
다시 사랑한다 말할까,김동률,29.0
바람기억,나얼(Na-Ul),29.0
나 돌아가,임정희,29.0
가슴 시린 이야기 (feat. 용준형 Of Beast),휘성,28.0
그대 돌아오면..,거미,28.0
Just A Feeling,어반 자카파(Urban Zakapa),28.0
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)",리쌍(Leessang),28.0
가지마 가지마,브라운 아이즈(Brown Eyes),28.0
...사랑했잖아...,린(LYn),28.0
우산 (feat. 윤하),에픽 하이(Epik High),28.0
죽일 놈 (Guilty),다이나믹 듀오(Dynamic Duo),28.0
가만히 눈을 감고 (New Acoustic ver.),정재욱,27.0
언젠가는,나얼(Na-Ul),27.0
아름다운 날들,장혜진,27.0
Loving U (러빙유),씨스타(Sistar),27.0
벌써 이렇게,쿨(COOL),27.0
Missing You (feat. 김윤아 Of 자우림),G-DRAGON,27.0
전부 너였다,노을,26.0
안녕이라고 말하지마,다비치,26.0
거리에서,성시경,26.0
점점,브라운 아이즈(Brown Eyes),26.0
다시 만난 날,휘성,26.0
같은 베개...,테이(Tei),26.0
Boogie On & On,빈지노(Beenzino),26.0
어느 가을,한희정,25.0
슬픔보다 더 슬픈 이야기,김범수,25.0
다 줄꺼야 (Acustic ver.),조규만,25.0
가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,25.0
새벽녘,에피톤 프로젝트(Epitone Project),25.0
꽃송이가,버스커 버스커(Busker Busker),25.0
먼지가 되어,김광석,24.0
어디선가 나의 노랠 듣고 있을 너에게,공일오비(015B),24.0
미워요,정인,24.0
행복한 나를,에코(ECO),24.0
기억을 걷는 시간,넬(Nell),24.0
낙원 (feat. 이재훈),싸이(Psy),23.0
바본가봐,아이비(IVY),23.0
사랑은...향기를 남기고,테이(Tei),23.0
그땐 그땐 그땐,슈프림팀(Supreme Team),23.0
여수 밤바다,버스커 버스커(Busker Busker),23.0
아니면서,성시경,23.0
첫 이별 그날 밤,아이유(IU),23.0
그댄 행복에 살텐데,리즈(Leeds),22.0
추억은 사랑을 닮아,박효신,22.0
Nike Shoes (feat. Dynamic Duo),빈지노(Beenzino),22.0
어땠을까 (feat. 박정현),싸이(Psy),22.0
남자답게,플라이 투 더 스카이(Fly To The Sky),22.0
