Title,Artist,cnt
해변의 여인,쿨(COOL),69.0
바다의 왕자,박명수,53.0
오아시스 (feat. 이재훈),브라운 아이드 걸스,52.0
여름안에서,서연,46.0
여행을 떠나요,이승기,45.0
바다,유피(UP),42.0
비행기,거북이,42.0
출발,김동률,41.0
여름 안에서,듀스(Deux),41.0
여수 밤바다,버스커 버스커(Busker Busker),40.0
Sea Of Love,플라이 투 더 스카이(Fly To The Sky),40.0
잘못된 만남,김건모,40.0
그런 사람 또 없습니다,이승철,39.0
팥빙수,윤종신,39.0
그남자 그여자 (feat. 장혜진),바이브(Vibe),37.0
MONSTER,BIGBANG,37.0
여름아! 부탁해,인디고(Indigo),36.0
남과 여 (feat. 김범수),박선주,35.0
끝사랑,김범수,35.0
벚꽃 엔딩,버스커 버스커(Busker Busker),35.0
사랑이 다른 사랑으로 잊혀지네,하림,35.0
동경,박효신,35.0
Hot Summer,에프엑스(f(x)),34.0
랄랄라 (feat. 소야),마이티 마우스(Mighty Mouth),34.0
이별택시,김연우,33.0
소주 한 잔,임창정,32.0
나혼자 (Alone),씨스타(Sistar),32.0
니가 참 좋아,쥬얼리(Jewelry),32.0
파도,유엔(UN),32.0
사랑한다는 흔한 말,김연우,31.0
벌써 일년,브라운 아이즈(Brown Eyes),31.0
Loving U (러빙유),씨스타(Sistar),29.0
맥주와 땅콩,쿨(COOL),28.0
다시 사랑한다 말할까,김동률,28.0
3!4!,룰라(Roo'Ra),28.0
정말 사랑했을까,브라운 아이드 소울(Brown Eyed Soul),28.0
그리워 그리워,노을,28.0
이미 슬픈 사랑,야다(Yada),27.0
사랑은 은하수 다방에서,10cm(십센치),27.0
"고속도로 로망스 (feat. 박효신, 윤도현, 김종국 & 조PD) (Acoustic ver.)",김장훈,27.0
Summer Couple (태양은 가득히),문차일드(Moon Child),27.0
고백,델리 스파이스(Deli Spice),27.0
Nothing Better (Guitar ver.),정엽,27.0
그녀와의 이별,김현정,27.0
인연 (동녘바람),이선희,26.0
거리에서,성시경,25.0
이 여름 Summer,쿨(COOL),25.0
연애 (feat. Hanyi),프리 스타일(Free Style),25.0
Summer Dance,이정현,25.0
사랑과 전쟁 (Narr. 하하),다비치,24.0
애인... 있어요,이은미,24.0
I Don't Care,투애니원(2NE1),24.0
비가 오는 날엔,비스트(Beast),24.0
7월의 이파네마 소녀,캐스커(Casker),24.0
여름날 (feat. 페퍼톤스 신재평),유희열,23.0
"봄날, 벚꽃 그리고 너",에피톤 프로젝트(Epitone Project),23.0
사랑 안해,백지영,23.0
좋아보여 (feat. 검정치마),버벌진트(Verbal Jint),23.0
