Title,Artist,cnt
그런 사람 또 없습니다,이승철,98.0
벌써 일년,브라운 아이즈(Brown Eyes),92.0
기억을 걷는 시간,넬(Nell),84.0
이미 슬픈 사랑,야다(Yada),83.0
낙원 (feat. 이재훈),싸이(Psy),76.0
그땐 그땐 그땐,슈프림팀(Supreme Team),73.0
비오는 압구정,브라운 아이즈(Brown Eyes),73.0
너를 위해,임재범,73.0
챔피언,싸이(Psy),72.0
Ballerino(발레리노),리쌍(Leessang),71.0
사랑.. 그 놈,바비 킴(Bobby Kim),70.0
소주 한 잔,임창정,70.0
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)",리쌍(Leessang),70.0
바람이 분다,이소라,70.0
미워요,정인,70.0
죽일 놈 (Guilty),다이나믹 듀오(Dynamic Duo),70.0
With Coffee...,브라운 아이즈(Brown Eyes),70.0
좋은 날,아이유(IU),70.0
여전히 아름다운지 (feat. 김연우),토이(Toy),70.0
거리에서,성시경,70.0
Go Away,투애니원(2NE1),70.0
다시 사랑한다 말할까,김동률,69.0
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),69.0
고백,델리 스파이스(Deli Spice),69.0
광대 (With BMK),리쌍(Leessang),69.0
아름다운 이별,김건모,69.0
좋을텐데,성시경,69.0
중독된 사랑,조장혁,69.0
I Don't Care,투애니원(2NE1),69.0
바보,박효신,68.0
Officially Missing You,긱스(Geeks),66.0
출발,김동률,65.0
귀로,나얼(Na-Ul),64.0
Stay,넬(Nell),63.0
All For You,쿨(COOL),62.0
정말 사랑했을까,브라운 아이드 소울(Brown Eyed Soul),61.0
우산 (feat. 윤하),에픽 하이(Epik High),59.0
사랑은 언제나 목마르다,유미,59.0
아파 (Slow),투애니원(2NE1),59.0
다행이다,이적,58.0
점점,브라운 아이즈(Brown Eyes),58.0
잘못된 만남,김건모,58.0
사랑비,김태우,57.0
사랑합니다...,팀(Tim),57.0
"너에게 난, 나에게 넌",자전거 탄 풍경,57.0
I Love You,포지션(Position),57.0
Y (Please Tell Me Why),프리 스타일(Free Style),56.0
나 돌아가,임정희,56.0
천년의 사랑,박완규,56.0
잔소리 (With 2AM 슬옹),아이유(IU),56.0
그날에 우리,어반 자카파(Urban Zakapa),56.0
죽을 만큼 아파서 (feat. 멜로우),MC 몽,56.0
사랑은 은하수 다방에서,10cm(십센치),56.0
Never Ending Story,부활,56.0
보고 싶다,김범수,56.0
기억의 습작,전람회,56.0
청혼,노을,56.0
한 남자,김종국,56.0
사랑할수록,부활,56.0
사랑해,스윗소로우(SWEET SORROW),56.0
...사랑했잖아...,린(LYn),56.0
취중진담(醉中眞談),전람회,55.0
오늘밤은 어둠이 무서워요,10cm(십센치),55.0
BK Love,MC 스나이퍼(MC Sniper),55.0
시간이 흐른 뒤 (As Time Goes By),t윤미래,54.0
널 생각해,원 모어 찬스(one more chance),54.0
라라라,SG워너비,53.0
사랑한다는 흔한 말,김연우,53.0
사랑하기 때문에,유재하,52.0
가지마 가지마,브라운 아이즈(Brown Eyes),52.0
내 사람,SG워너비,51.0
비상,임재범,51.0
다 줄꺼야 (Acustic ver.),조규만,51.0
눈물이 안났어,임정희,51.0
행복한 나를,에코(ECO),51.0
커피를 마시고 (Main ver.),어반 자카파(Urban Zakapa),50.0
커플 (Couple),젝스키스(Sechs Kies),50.0
내가 제일 잘 나가,투애니원(2NE1),50.0
Baby Baby,포맨,50.0
서시,신성우,50.0
칵테일 사랑,마로니에(Maronnier),49.0
사랑은 봄비처럼... 이별은 겨울비처럼,임현정,48.0
사랑 Two,윤도현,48.0
그런가봐요...,브이원 (V.One),48.0
Oh Yeah (feat. 박봄),G-DRAGON,48.0
고백,뜨거운 감자(Hot Potato),48.0
아이처럼,김동률,48.0
다시 사랑할 수 있을까,포맨,47.0
두사람,성시경,47.0
애인... 있어요,이은미,47.0
생각이 나,부활,47.0
With Me,휘성,47.0
그남자 그여자 (feat. 장혜진),바이브(Vibe),46.0
High High,G-DRAGON,46.0
하늘을 달리다,이적,44.0
기억의 습작,김동률,44.0
편지,김광진,44.0
Fiction,비스트(Beast),44.0
사랑합니다,이재훈 ,44.0
Lonely,투애니원(2NE1),44.0
꽃피는 봄이오면,BMK,44.0
그대네요,성시경,44.0
내 눈물모아,서지원,44.0
못해 (feat. 美),포맨,43.0
Bad Girl Good Girl,미쓰 에이(miss A),43.0
전부 너였다,노을,43.0
사진을 보다가,바이브(Vibe),43.0
그랬나봐,김형중,43.0
