Title,Artist,cnt
365일,알리(Ali),49.0
다시 사랑한다 말할까,김동률,47.0
생각이 나,부활,46.0
벌써 일년,브라운 아이즈(Brown Eyes),44.0
보여줄게,에일리(Ailee),42.0
저녁 하늘,에일리(Ailee),42.0
차마...,성시경,39.0
So Cool (쏘쿨),씨스타(Sistar),38.0
뜨거운 안녕 (feat. 성시경),싸이(Psy),36.0
사랑.. 그 놈,바비 킴(Bobby Kim),35.0
정말 사랑했을까,브라운 아이드 소울(Brown Eyed Soul),34.0
귀로,나얼(Na-Ul),33.0
말리꽃,이승철,32.0
기억의 습작,전람회,31.0
날 닮은 너,임창정,31.0
사랑했나봐,윤도현,30.0
Never Ending Story,부활,30.0
사랑한다는 흔한 말,김연우,29.0
연애 (feat. Hanyi),프리 스타일(Free Style),29.0
Officially Missing You,긱스(Geeks),29.0
가로수 그늘 아래 서면,장재인,29.0
죽일 놈 (Guilty),다이나믹 듀오(Dynamic Duo),28.0
갈색머리 (feat. 김연우),윤건,28.0
잔소리 (With 2AM 슬옹),아이유(IU),28.0
강남스타일,싸이(Psy),28.0
살다가,SG워너비,28.0
가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,28.0
"가을, 다시",데이브레이크(daybreak),28.0
좋을텐데,성시경,28.0
기대,나윤권,27.0
하루 끝,아이유(IU),27.0
광대 (With BMK),리쌍(Leessang),27.0
그리워 그리워,노을,27.0
"너에게 난, 나에게 넌",자전거 탄 풍경,26.0
너랑 나,아이유(IU),26.0
행복하지 말아요,엠씨 더 맥스(M.C the Max),26.0
Rain Drop,아이유(IU),26.0
여전히 아름다운지 (feat. 김연우),토이(Toy),26.0
오래된 노래,김동률,26.0
I Believe (엽기적인 그녀 O.S.T),신승훈,26.0
그땐 미처 알지 못했지,이적,26.0
빨래,이적,25.0
나였으면,나윤권,25.0
추억은 사랑을 닮아,박효신,25.0
어제보다 슬픈 오늘,김건모,25.0
Ballerino(발레리노),리쌍(Leessang),24.0
사랑 안해,백지영,24.0
잘가요,정재욱,24.0
말꼬리 (feat. 정준일 - Mate),윤종신,24.0
헤어지는 중입니다,이은미,24.0
내가 너의 곁에 잠시 살았다는 걸,김연우,24.0
그런 사람 또 없습니다,이승철,23.0
죄와 벌,SG워너비,23.0
I Need You,허각,23.0
멘트 (feat. 개코 Of Dynamic Duo),더블케이(Double K),23.0
그립고 그립고 그립다,케이윌(K.Will),22.0
너를 위해,임재범,22.0
하고 싶은 말,김태우,22.0
하늘을 달리다,이적,22.0
안아줘,정준일 [메이트],22.0
슬픔활용법,김범수,22.0
거리에서,성시경,22.0
그 노래,존 박(John Park),22.0
다행이다,이적,21.0
내 눈물모아,서지원,21.0
사랑... 다 거짓말,린(LYn),21.0
바람이 분다,이소라,21.0
니가 떠나간다,백아연,21.0
늦은 후회,보보(Bobo),21.0
"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),21.0
술 한잔 해요,지아(Zia),21.0
To Heaven (천국으로 보낸 편지),조성모,20.0
다시 와주라,바이브(Vibe),20.0
내일을 묻는다 (Album Edit),제이레빗(J Rabbit),20.0
Y (Please Tell Me Why),프리 스타일(Free Style),20.0
그댄 행복에 살텐데,리즈(Leeds),20.0
벚꽃 엔딩,버스커 버스커(Busker Busker),20.0
흑백사진,KCM,20.0
그녀를 사랑해줘요,하동균,20.0
출발,김동률,20.0
동경소녀,버스커 버스커(Busker Busker),20.0
"그리고, 남겨진 것들",넬(Nell),20.0
미워도 다시 한번 (Original ver.),바이브(Vibe),19.0
낙원 (feat. 이재훈),싸이(Psy),19.0
아름다운 이별,김건모,19.0
바람이 불어오는 곳,제이레빗(J Rabbit),19.0
가을이 오면,이문세,19.0
홀로 (feat. 김나영),정키(Jung Key),19.0
두사람,성시경,19.0
그날에 우리,어반 자카파(Urban Zakapa),19.0
중독된 사랑,조장혁,19.0
오래전 그날,윤종신,19.0
눈물이 안났어,임정희,19.0
겁쟁이,버즈(Buzz),19.0
잊혀진 계절,서영은,19.0
기대해,걸스데이(Girl's Day),19.0
좋은사람,박효신,19.0
보편적인 노래,브로콜리너마저,18.0
칵테일 사랑,마로니에(Maronnier),18.0
You Are So Beautiful,윤종신,18.0
오늘 헤어졌어요,윤하(Younha/ユンナ),18.0
Lonely,투애니원(2NE1),18.0
가을방학 (Album ver.),가을방학,18.0
Replay,김동률,18.0
아무것도 아닌 듯,백지영,18.0
너에게 쓰는 편지,MC 몽,18.0
고백,델리 스파이스(Deli Spice),18.0
잊었니,에이치(H),18.0
자니 (feat. Dynamic Duo),프라이머리(Primary),18.0
나만 몰랐던 이야기,아이유(IU),18.0
결혼해줘,임창정,18.0
기다리는 이유,임창정,18.0
한여름날의 꿈 (duet with 옥주현),SG워너비,18.0
사랑이 다른 사랑으로 잊혀지네,하림,17.0
그녀가 나를 보네...,브라운 아이즈(Brown Eyes),17.0
기다리다,윤하(Younha/ユンナ),17.0
회상 (feat. 백지영),리쌍(Leessang),17.0
그땐 그땐 그땐,슈프림팀(Supreme Team),17.0
얼음요새,디어 클라우드(Dear Cloud),17.0
Timeless,SG워너비,17.0
Love Affair,임창정,17.0
사랑은 은하수 다방에서,10cm(십센치),17.0
사랑... 그게 뭔데,양파,17.0
미친거니,바이브(Vibe),17.0
늦은 후회,린(LYn),16.0
참고 살아 (be...),다이나믹 듀오(Dynamic Duo),16.0
단 한번 그대를 위한 일,린(LYn),16.0
서쪽 하늘,울랄라세션(Ulala Session),16.0
어떻게 사랑이 그래요,이승환,16.0
나를 사랑했던 사람아,허각,16.0
가을 편지,박효신,16.0
삭제,이승기,16.0
말하는 대로,처진 달팽이(유재석 & 이적),16.0
열흘만,제이(J.ae),16.0
또 한번 사랑은 가고,이기찬,16.0
Memories... (Smiling Tears),t윤미래,16.0
사랑이 늦어서 미안해,김조한,16.0
이화동 (duet with 한희정),에피톤 프로젝트(Epitone Project),16.0
너무 아픈 사랑은 사랑이 아니었음을,김광석,16.0
슬퍼지려 하기 전에,왁스(Wax),16.0
잘못된 만남,김건모,16.0
전부 너였다,노을,16.0
점점,브라운 아이즈(Brown Eyes),16.0
널 생각해,원 모어 찬스(one more chance),15.0
I'm In Love,라디(Ra.D),15.0
감사,김동률,15.0
우리는 선처럼 가만히 누워 (feat. 이상순),요조(Yozoh),15.0
가을이 아프다,에코 브릿지(Eco bridge),15.0
장가갈 수 있을까 (feat. 내리),커피소년,15.0
오랜만이야,임창정,15.0
천년의 사랑,박완규,15.0
그때 또 다시 (Again),임창정,15.0
보통날,지오디(god),15.0
Heaven (feat. MYK),에픽 하이(Epik High),15.0
라라라,SG워너비,15.0
아이처럼,김동률,15.0
"씨스루 (feat. 개코, Zion.T)",프라이머리(Primary),15.0
해줄 수 없는 일,박효신,15.0
애상,쿨(COOL),15.0
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)",리쌍(Leessang),15.0
체념,빅마마(Big Mama),15.0
슬픈 혼잣말,임창정,15.0
Fiction,비스트(Beast),15.0
커피를 마시고 (Reprise),어반 자카파(Urban Zakapa),15.0
다시 만난 날,휘성,15.0
발걸음,에메랄드 캐슬(Emerald Castle),15.0
내 사람,SG워너비,14.0
Only One,보아(BoA),14.0
로맨틱 겨울 (feat. 김진호 Of SG워너비),김진표(JP),14.0
아름다운 날들,장혜진,14.0
나에게로 떠나는 여행,버즈(Buzz),14.0
바보,김건모,14.0
영원한 건 없지만,로이킴,14.0
겁이 나서 (With 백지영),나윤권,14.0
시간이 달라서,스탠딩 에그(Standing Egg),14.0
소월에게 묻기를,윤상,14.0
자꾸 눈물이 납니다,알리(Ali),14.0
없는게 메리트,옥상달빛,14.0
사랑하기 좋은 계절,이지영,14.0
가을에 (10월 1일),소울스타(Soulstar),14.0
말하고 싶은 게 있어 (Spring ver.),랄라스윗(lalasweet),14.0
Thank You And I Love You,신해철,14.0
Feelings,Morris Albert(모리스 알버트),14.0
바질 (feat. BrotherSu),매드 클라운(Mad Clown),14.0
가을남자,정인,14.0
미안해,전소영,14.0
Night And Day,에코 브릿지(Eco bridge),14.0
Ex,폴킴(Paul Kim),14.0
가을이 오면,서영은,14.0
소주한잔,임창정,14.0
언제까지나 (duet with Lisa),성훈 [Brown Eyed Soul],14.0
작은 마음,언니네 이발관,14.0
내가 만일,백미현,14.0
내 눈에는 (feat. 이재훈),싸이(Psy),14.0
Espresso Macchiato,김현철,14.0
이 밤의 끝을 잡고 (R&B Ballad),솔리드(Solid),14.0
만약에 말야 (전우성 Solo),노을,14.0
"미안해, 고마워, 사랑해",먼데이 키즈(Monday Kiz),14.0
Rain,이적,14.0
걱정말아요 그대,곽진언,14.0
한때 우리는 작고 보드라운 꽃잎이었네,이지형,14.0
들었다 놨다 (Love Actually),써니힐(Sunny Hill),14.0
사랑은... 하나다,테이(Tei),14.0
해바라기 (그녀에게..),박상민,14.0
사랑해,스윗소로우(SWEET SORROW),14.0
떠나간다,노을,14.0
이별을 앞두고,윤종신,14.0
사랑합니다...,팀(Tim),14.0
Some Days I Forget,Gwyneth Herbert(기네스 허버트),14.0
그대는 눈물겹다,엠씨 더 맥스(M.C the Max),14.0
너를,브라운 아이드 소울(Brown Eyed Soul),14.0
행복한 나를,에코(ECO),14.0
사랑이란게 뭐 이래요,김그림,14.0
행복한 나를 (feat. 존박),허각,14.0
Speechless,클래지콰이(Clazziquai),14.0
둘이서,걸스데이(Girl's Day),14.0
Sunshine,클래지콰이(Clazziquai),14.0
평행세계 (feat. B-Soap & Kjun),Kricc(크릭),14.0
그때 우리처럼,장지연 [인디],14.0
잠 못 드는 밤 비는 내리고,김건모,14.0
UGLY,투애니원(2NE1),14.0
피아노,조성모,14.0
Delight (feat. Kiss The Rain),스테이트루(Staytrue),14.0
Ribbon In The Sky,나얼(Na-Ul),14.0
핑계 (Reggae),김건모,14.0
사랑해요,유리상자,14.0
I Decide,헤리티지(Heritage),14.0
소원,김현성,14.0
일년이면,휘성,14.0
향기로운 뒷모습,스토리(Story) (솔로),14.0
Round & Round,브라운 아이드 소울(Brown Eyed Soul),14.0
Um Amor (& Roberto MEnescal),보싸다방(Bossa Dabang),14.0
일과 이분의 일,투투(Two Two),14.0
인형의꿈 (Bonus Track),러브홀릭(Loveholic),14.0
그날이후,성시경,14.0
고백,이소라,14.0
가질 수 없는 너,현빈,14.0
오늘따라 (feat. 가인),팬텀,14.0
우산,윤하(Younha/ユンナ),14.0
J'S Bar 에서,전람회,14.0
Je Ne Veux Pas,빅마마(Big Mama),14.0
우산 (feat. 윤하),에픽 하이(Epik High),14.0
Just The Two Of Us,어반 자카파(Urban Zakapa),14.0
북극성,강타,14.0
사랑한다면서,김필(Kim Feel),14.0
만년설,서영은,14.0
Toast (With 허밍어반스테레오),제이(J.ae),14.0
애원,버블 시스터즈(Bubble Sisters),14.0
Lately,성시경,14.0
죽을 만큼 아파서 (feat. 멜로우),MC 몽,14.0
아마추어,이승철,14.0
가수가 된 이유,신용재 [4men],14.0
별 짓 다해봤는데,알리(Ali),14.0
나의 연인(我戀),임창정,14.0
