Title,Artist,cnt
다시 사랑한다 말할까,김동률,96.0
그런 사람 또 없습니다,이승철,82.0
"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),76.0
저녁 하늘,에일리(Ailee),75.0
벌써 일년,브라운 아이즈(Brown Eyes),74.0
끝사랑,김범수,74.0
보여줄게,에일리(Ailee),73.0
사랑.. 그 놈,바비 킴(Bobby Kim),72.0
Aqua Man,빈지노(Beenzino),72.0
여전히 아름다운지 (feat. 김연우),토이(Toy),72.0
좋은 날,아이유(IU),71.0
어땠을까 (feat. 박정현),싸이(Psy),70.0
출발,김동률,70.0
"? (물음표) (feat. 최자 Of 다이나믹듀오, Zion.T)",프라이머리(Primary),70.0
소주 한 잔,임창정,70.0
보고 싶다,김범수,70.0
바람이 분다,이소라,70.0
결혼까지 생각했어,휘성,70.0
가슴 시린 이야기 (feat. 용준형 Of Beast),휘성,70.0
여수 밤바다,버스커 버스커(Busker Busker),70.0
나혼자 (Alone),씨스타(Sistar),70.0
Loving U (러빙유),씨스타(Sistar),70.0
눈물 (feat. 유진 Of 더 씨야),리쌍(Leessang),70.0
바람기억,나얼(Na-Ul),70.0
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),70.0
자니 (feat. Dynamic Duo),프라이머리(Primary),70.0
거리에서,성시경,70.0
벚꽃 엔딩,버스커 버스커(Busker Busker),70.0
Boogie On & On,빈지노(Beenzino),70.0
"씨스루 (feat. Zion.T, 개코 Of 다이나믹듀오)",프라이머리(Primary),70.0
눈물샤워 (feat .에일리),배치기,70.0
죽일 놈 (Guilty),다이나믹 듀오(Dynamic Duo),70.0
"Love (feat. Bumkey, Paloalto)",프라이머리(Primary),70.0
너랑 나,아이유(IU),70.0
기억의 습작,전람회,69.0
사랑은 은하수 다방에서,10cm(십센치),68.0
Officially Missing You,긱스(Geeks),68.0
사랑이 다른 사랑으로 잊혀지네,하림,63.0
널 생각해,원 모어 찬스(one more chance),62.0
좋아보여 (feat. 검정치마),버벌진트(Verbal Jint),62.0
강남스타일,싸이(Psy),61.0
가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,60.0
기대해,걸스데이(Girl's Day),60.0
Missing You,플라이 투 더 스카이(Fly To The Sky),60.0
넋,40(포티),60.0
애상,쿨(COOL),60.0
오랜만이야,임창정,59.0
서른 즈음에,김광석,58.0
I Need You,허각,58.0
홀로 (feat. 김나영),정키(Jung Key),58.0
잔소리 (With 2AM 슬옹),아이유(IU),58.0
정말 사랑했을까,브라운 아이드 소울(Brown Eyed Soul),58.0
우산 (feat. 윤하),에픽 하이(Epik High),58.0
Never Ending Story,부활,57.0
FANTASTIC BABY,BIGBANG,57.0
