Title,Artist,cnt
잘못된 만남,김건모,43.0
벌써 일년,브라운 아이즈(Brown Eyes),42.0
두사람,성시경,41.0
술 한잔 해요,지아(Zia),38.0
내입술...따뜻한 커피처럼,샵(S#arp),38.0
출발,김동률,37.0
늦은 후회,보보(Bobo),36.0
사랑은...향기를 남기고,테이(Tei),35.0
기억을 걷는 시간,넬(Nell),33.0
후회한다,포맨,32.0
I Believe (엽기적인 그녀 O.S.T),신승훈,32.0
너의 뒤에서,박진영,31.0
서쪽 하늘,울랄라세션(Ulala Session),30.0
그녀를 사랑해줘요,하동균,29.0
우리 참 좋았는데 (duet with 박정현),성시경,28.0
순정(純情) (London Boys의 I'm Gonna Give My Heart 전주 인용),코요태,28.0
어쩌면...,버즈(Buzz),28.0
"? (물음표) (feat. 최자 Of 다이나믹듀오, Zion.T)",프라이머리(Primary),28.0
벚꽃 엔딩,버스커 버스커(Busker Busker),28.0
샤이보이 (Shy Boy),시크릿(Secret),28.0
사랑이 다른 사랑으로 잊혀지네,하림,28.0
눈물이 안났어,임정희,28.0
A-Yo,지누션(Jinusean),28.0
바보,박효신,27.0
고백 (Go Back) (feat. 정인),다이나믹 듀오(Dynamic Duo),27.0
Never Ending Story,부활,27.0
그남자 그여자 (feat. 장혜진),바이브(Vibe),26.0
아름다운 이별,김건모,26.0
기적 (duet with 이소은),김동률,26.0
별 짓 다해봤는데,알리(Ali),26.0
Heaven,김현성,25.0
다시 사랑한다 말할까,김동률,25.0
아름다운 날들,장혜진,25.0
만약에 말야 (전우성 Solo),노을,25.0
여전히 아름다운지 (feat. 김연우),토이(Toy),24.0
사랑합니다...,팀(Tim),24.0
넋,40(포티),24.0
어떤가요,화요비,24.0
야상곡(夜想曲),김윤아,24.0
With Coffee...,브라운 아이즈(Brown Eyes),24.0
편지,김광진,24.0
어떻게 사랑이 그래요,이승환,23.0
저녁 하늘,에일리(Ailee),23.0
Officially Missing You,긱스(Geeks),23.0
사랑을 외치다,엠씨 더 맥스(M.C the Max),23.0
잊어야 한다는 마음으로,김광석,23.0
라라라,이수영,22.0
한 남자,김종국,22.0
나였으면,나윤권,22.0
못해 (feat. 美),포맨,22.0
널 생각해,원 모어 찬스(one more chance),22.0
좋아해,요조(Yozoh),22.0
아시나요,조성모,22.0
사진,어쿠스틱 콜라보(Acoustic Collabo),22.0
사랑은 언제나 목마르다,유미,22.0
가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,22.0
그대는 눈물겹다,엠씨 더 맥스(M.C the Max),22.0
나를 슬프게 하는 사람들,김경호,22.0
High High,G-DRAGON,21.0
Go,브라운 아이드 소울(Brown Eyed Soul),21.0
"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),21.0
초대,엄정화,21.0
커피를 마시고 (Main ver.),어반 자카파(Urban Zakapa),21.0
오래전 그날,윤종신,21.0
"수고했어, 오늘도",옥상달빛,21.0
시간이 흐른 뒤 (As Time Goes By),t윤미래,21.0
행복한 나를,에코(ECO),21.0
그리워 그리워,노을,21.0
아마도 사랑이겠죠,장나라,21.0
친구라도 될 걸 그랬어,거미,21.0
거리에서,성시경,20.0
다행이다,이적,20.0
사랑의 바보,더 넛츠(The Nuts),20.0
고백,델리 스파이스(Deli Spice),20.0
천일동안,이승환,20.0
울지마,브로콜리너마저,20.0
Without You,원타임(1TYM),20.0
챠우챠우 - 아무리 애를 쓰고 막아 보려 해도 너의 목소리가 들려,델리 스파이스(Deli Spice),20.0
"봄날, 벚꽃 그리고 너",에피톤 프로젝트(Epitone Project),20.0
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)",리쌍(Leessang),20.0
기억의 습작,전람회,20.0
화장을 고치고,왁스(Wax),20.0
나만 몰랐던 이야기,아이유(IU),20.0
취중진담(醉中眞談),전람회,19.0
Gee,소녀시대,19.0
난 널 사랑해,신효범,19.0
서른 즈음에,김광석,19.0
So Cool (쏘쿨),씨스타(Sistar),19.0
빗소리,윤하(Younha/ユンナ),19.0
좋아보여 (feat. 검정치마),버벌진트(Verbal Jint),19.0
비상,임재범,19.0
내가 제일 잘 나가,투애니원(2NE1),19.0
마지막 사랑,박기영,19.0
아메리카노,10cm(십센치),19.0
중독된 사랑,조장혁,19.0
그댄 행복에 살텐데,리즈(Leeds),19.0
I Love You,포지션(Position),19.0
그대 떠난 뒤,나얼(Na-Ul),18.0
I'm In Love (Piano RMX),라디(Ra.D),18.0
오늘밤은 어둠이 무서워요,10cm(십센치),18.0
하늘만 허락한 사랑,엄정화,18.0
날개 잃은 천사,룰라(Roo'Ra),18.0
Take Out,가인 [브라운아이드걸스],18.0
Tears,소찬휘,18.0
나비 무덤,테이크(Take),18.0
이미 슬픈 사랑,야다(Yada),18.0
이등병의 편지,김광석,18.0
첫사랑이죠,아이유 ＆ 나윤권,18.0
너를 위해,임재범,18.0
봄날은 간다 - 영화 '봄날은 간다' 中에서,김윤아,18.0
슈퍼스타,이한철,18.0
원하고 원망하죠,애즈 원(As One),18.0
좋은사람,박효신,18.0
현명한 선택,소찬휘,18.0
거기서거기 (Without You),다이나믹 듀오(Dynamic Duo),17.0
안녕이라고 말하지마,다비치,17.0
당신과의 키스를 세어보아요,화요비,17.0
내게 오는 길 (Bonus Track),성시경,17.0
Black & White,지나(G.NA),17.0
오늘 헤어졌어요,윤하(Younha/ユンナ),17.0
"씨스루 (feat. Zion.T, 개코 Of 다이나믹듀오)",프라이머리(Primary),17.0
꿈에,박정현,17.0
With Me,휘성,17.0
Coffeetalgia (duet with 성시경),해이(Hey),17.0
술이야,바이브(Vibe),16.0
그때 또 다시 (Again),임창정,16.0
잔소리 (With 2AM 슬옹),아이유(IU),16.0
Poison,엄정화,16.0
오래된 노래,김동률,16.0
사랑비,김태우,16.0
사라지지 말아요,디어 클라우드(Dear Cloud),16.0
바람만바람만,김종국,16.0
U Just,소울사이어티(Soulciety),16.0
그런 사람 또 없습니다,이승철,16.0
I Don't Care,투애니원(2NE1),16.0
먼지가 되어,김광석,16.0
좋을텐데,성시경,16.0
생각이 나,부활,16.0
괜찮아,베란다 프로젝트(Verandah Project),16.0
넌 이별 난 아직 (With 한소현 Of 3rd Coast),스탠딩 에그(Standing Egg),16.0
그녀와의 이별,김현정,16.0
사랑해 그리고 기억해,지오디(god),16.0
MONSTER,BIGBANG,16.0
그대네요,성시경,16.0
Oh!,소녀시대,16.0
All For You,쿨(COOL),16.0
천년의 사랑,박완규,15.0
귀로,나얼(Na-Ul),15.0
눈물 (feat. 유진 Of 더 씨야),리쌍(Leessang),15.0
사랑이 술을 가르쳐 (feat. 백찬 From 8eight),이승기,15.0
비가 오는 날엔,비스트(Beast),15.0
허밍,스프링롤(Springloll),15.0
"I Love U, Oh Thank U (feat. 김태우)",MC 몽,15.0
I Need You,허각,15.0
보여줄게,에일리(Ailee),15.0
"너에게 난, 나에게 넌",자전거 탄 풍경,15.0
환상,박지윤,15.0
소주 한 잔,임창정,15.0
Rain,이적,15.0
"씨스루 (feat. 개코, Zion.T)",프라이머리(Primary),15.0
처음 느낌 그대로,이소라,15.0
melody,허민,15.0
너무 아픈 사랑은 사랑이 아니었음을,김광석,15.0
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),15.0
