Title,Artist,cnt
그런 사람 또 없습니다,이승철,61.0
보고 싶다,김범수,45.0
소주 한 잔,임창정,43.0
너를 위해,임재범,41.0
제주도의 푸른 밤,성시경,40.0
여수 밤바다,버스커 버스커(Busker Busker),40.0
여전히 아름다운지 (feat. 김연우),토이(Toy),38.0
거리에서,성시경,35.0
비오는 압구정,브라운 아이즈(Brown Eyes),34.0
"I Love U, Oh Thank U (feat. 김태우)",MC 몽,33.0
사진을 보다가,바이브(Vibe),31.0
벌써 일년,브라운 아이즈(Brown Eyes),31.0
가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,30.0
비가 오는 날엔,비스트(Beast),30.0
안녕이라고 말하지마,다비치,30.0
그리워 그리워,노을,29.0
아이처럼,김동률,29.0
좋은 사람 (feat. 김형중),토이(Toy),29.0
바람이 분다,이소라,29.0
어땠을까 (feat. 박정현),싸이(Psy),28.0
좋은 날,아이유(IU),28.0
어제처럼,제이(J.ae),28.0
나는 그 사람이 아프다 (feat. 타루),에피톤 프로젝트(Epitone Project),28.0
"입장정리 (feat. 최자, Simon D)",프라이머리(Primary),27.0
사랑.. 그 놈,바비 킴(Bobby Kim),27.0
꽃송이가,버스커 버스커(Busker Busker),27.0
끝사랑,김범수,27.0
BK Love,MC 스나이퍼(MC Sniper),27.0
인연 (동녘바람),이선희,27.0
소망,바이브(Vibe),26.0
첫사랑,버스커 버스커(Busker Busker),26.0
기억을 걷는 시간,넬(Nell),26.0
Loving U (러빙유),씨스타(Sistar),26.0
바람기억,나얼(Na-Ul),26.0
다시 사랑한다 말할까,김동률,25.0
나혼자 (Alone),씨스타(Sistar),25.0
지난 봄 어느 날,하림,25.0
"봄날, 벚꽃 그리고 너",에피톤 프로젝트(Epitone Project),25.0
나였으면,나윤권,25.0
좋아 (JOAH),박재범(Jay Park),25.0
"Love (feat. Bumkey, Paloalto)",프라이머리(Primary),24.0
체념,빅마마(Big Mama),24.0
우산 (feat. 윤하),에픽 하이(Epik High),24.0
사랑은 은하수 다방에서,10cm(십센치),24.0
취중진담(醉中眞談),전람회,23.0
꿈에,박정현,23.0
중독된 사랑,조장혁,23.0
Promise U,바이브(Vibe),23.0
만약에 말야 (전우성 Solo),노을,23.0
Sunshine,몽니(Monni),23.0
잠 못 드는 밤에,문명진,23.0
고백,델리 스파이스(Deli Spice),23.0
늦은 후회,보보(Bobo),22.0
커피를 마시고 (Main ver.),어반 자카파(Urban Zakapa),22.0
벚꽃 엔딩,버스커 버스커(Busker Busker),22.0
Trouble Maker,트러블메이커(Troublemaker),22.0
1994년 어느 늦은 밤,장혜진,22.0
Sunshine,짙은(Zitten),22.0
"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),22.0
Go Away,투애니원(2NE1),22.0
죽일 놈 (Guilty),다이나믹 듀오(Dynamic Duo),22.0
Never Ending Story,부활,22.0
외국인의 고백,악동뮤지션(AKMU),22.0
Love Affair (Piano ver.) (영화 '러브 어페어' 주제곡),Ennio Morricone(엔니오 모리꼬네),21.0
우리 참 좋았는데 (duet with 박정현),성시경,21.0
발걸음,에메랄드 캐슬(Emerald Castle),21.0
바라만 봐도 좋은데,노리플라이(no reply),21.0
복숭아,아이유(IU),21.0
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),21.0
화분 (알렉스 ver.) ('우리 결혼했어요' 삽입곡),알렉스(Alex) [클래지콰이],21.0
Somebody,푸디토리움(Pudditorium),21.0
그땐 그땐 그땐,슈프림팀(Supreme Team),21.0
너에게 쓰는 편지,MC 몽,21.0
널 생각해,원 모어 찬스(one more chance),21.0
사랑은 맛있다 ♡,휘성,20.0
Je T'aime,해이(Hey),20.0
러브 레시피,거미,20.0
별 짓 다해봤는데,알리(Ali),20.0
날 닮은 너,임창정,20.0
봄날은 간다 - 영화 '봄날은 간다' 中에서,김윤아,20.0
우리 사랑하게 됐어요,가인 [브라운아이드걸스],20.0
Rain,박혜경,19.0
사랑한다는 흔한 말,김연우,19.0
우리 처음 만난 날,한희정,19.0
잘못된 만남,김건모,19.0
시간이 흐른 뒤 (As Time Goes By),t윤미래,19.0
서쪽 하늘,울랄라세션(Ulala Session),19.0
공원에서,유희열,19.0
두사람,성시경,19.0
출발,김동률,19.0
순정(純情) (London Boys의 I'm Gonna Give My Heart 전주 인용),코요태,19.0
Boogie On & On,빈지노(Beenzino),18.0
정말 사랑했을까,브라운 아이드 소울(Brown Eyed Soul),18.0
결혼까지 생각했어,휘성,18.0
술 한잔 해요,지아(Zia),18.0
남과 여 (feat. 김범수),박선주,18.0
가슴 시린 이야기 (feat. 용준형 Of Beast),휘성,18.0
챔피언,싸이(Psy),18.0
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)",리쌍(Leessang),18.0
So Cool (쏘쿨),씨스타(Sistar),18.0
마지막 사랑,박기영,17.0
너를 그리다,디어(d.ear),17.0
막걸리나,버스커 버스커(Busker Busker),17.0
눈물 (feat. 유진 Of 더 씨야),리쌍(Leessang),17.0
잠시 길을 잃다,공일오비(015B),17.0
몰라요,에이핑크(Apink),17.0
사랑은 언제나 목마르다,유미,17.0
Love Blossom (러브블러썸),케이윌(K.Will),17.0
멀어 (feat. Beenzino),프라이머리(Primary),16.0
아로하,쿨(COOL),16.0
사랑은 봄비처럼... 이별은 겨울비처럼,임현정,16.0
Fiction,비스트(Beast),16.0
자전거 데이트,심현보,16.0
"너에게 난, 나에게 넌",자전거 탄 풍경,16.0
"씨스루 (feat. 개코, Zion.T)",프라이머리(Primary),16.0
Metro (Acoustic),Glen Check(글렌체크),16.0
비가와,최정철,16.0
당신은 참..,성시경,16.0
그런가봐요...,브이원 (V.One),16.0
좋아보여 (feat. 검정치마),버벌진트(Verbal Jint),16.0
정말로 사랑한다면,버스커 버스커(Busker Busker),16.0
Rain Drop,아이유(IU),16.0
그녀를 사랑해줘요,하동균,16.0
MONSTER,BIGBANG,16.0
Stay,넬(Nell),15.0
팝콘,데이브레이크(daybreak),15.0
Spring Spring (feat. MayBee),조pd(ZoPD),15.0
봄봄봄,루싸이트 토끼,15.0
일년 후 (feat. 요조) (Accoustic ver.),마이큐(MY-Q),15.0
1월부터 6월까지 (feat. 윤종신),공일오비(015B),15.0
I Do,더 원(The One),15.0
이 밤의 끝을 잡고 (R&B Ballad),솔리드(Solid),15.0
이미 슬픈 사랑,야다(Yada),15.0
I Need A Girl (feat. G-Dragon),태양,15.0
사랑 빛,씨엔블루(CNBLUE),15.0
나에게로의 초대,정경화,15.0
다시 사랑한다면,도원경,15.0
그댄 행복에 살텐데,리즈(Leeds),15.0
낙원 (feat. 이재훈),싸이(Psy),15.0
화창한 봄날에 (feat. Kuan),제리케이(Jerry. K),15.0
사랑이 다른 사랑으로 잊혀지네,하림,15.0
FANTASTIC BABY,BIGBANG,15.0
아니면서,성시경,15.0
It's Beautiful,윤하(Younha/ユンナ),14.0
illa illa (일라 일라),JUNIEL(주니엘),14.0
Lay back,케이윌(K.Will),14.0
One Dream (feat. Henry Of Super Junior-M & Key Of SHINee),보아(BoA),14.0
가지마 가지마,브라운 아이즈(Brown Eyes),14.0
One Love,엠씨 더 맥스(M.C the Max),14.0
봄봄,양양(YangYang),14.0
사랑한대 (With Windy),스탠딩 에그(Standing Egg),14.0
산책,이지형,14.0
Something Special,어반 자카파(Urban Zakapa),14.0
소요유(逍遙遊),클릭비(Click-B),14.0
소녀,이문세,14.0
Just The Two Of Us,어반 자카파(Urban Zakapa),14.0
LOVE SONG,BIGBANG,14.0
가슴에 살아 (feat. 나르샤 Of Brown Eyed Girls),언터쳐블,14.0
Officially Missing You,악동뮤지션(AKMU),14.0
산책 (영화 '참을 수 없는.' 삽입곡),이바디(Ibadi),14.0
Someday Maybe You'll Love Me (feat. 선우정아),지나(Gina),14.0
보조개,이적,14.0
우리 만난적 있나요,유희열,14.0
사랑은 봄비처럼 이별은 겨울비처럼 (영화 '키다리 아저씨'),와이제이 패밀리(YJ Family),14.0
봄봄봄,로이킴,14.0
Sweet Love,어쿠스틱 콜라보(Acoustic Collabo),14.0
슬퍼지려 하기 전에,쿨(COOL),14.0
사랑하기 때문에 (Cover-Edited ver.),잠바(Jamba),14.0
사랑 2 (I Wanna Fall In Love),브라운 아이즈(Brown Eyes),14.0
서시,신성우,14.0
In My Tin Case,루싸이트 토끼,14.0
사랑 안해,백지영,14.0
Sweet Love (feat. 라임버스),별,14.0
세상이 그대를 속일지라도,김건모,14.0
Shooting Star (feat. Yozoh),킹스턴 루디스카(Kingston Rudieska),14.0
오늘은 휴일입니다,한희정,14.0
실화,린(LYn),14.0
사랑은 어디로,이적,14.0
사랑에 빠지고 싶다,김조한,14.0
Piano Intertude,제이(J.ae),14.0
Morning Coffee,리나(Lina),14.0
Sunshine,캔디맨(Candyman),14.0
신촌을 못가,포스트맨(Postmen),14.0
선인장 (Acoustic ver.),에피톤 프로젝트(Epitone Project),14.0
안부 (duet with 나윤권),별,14.0
세월이 가면 ,윈터플레이(Winterplay),14.0
안아줘요,10cm(십센치),14.0
빗소리,윤하(Younha/ユンナ),14.0
Yesterday (Trio ver.) (Bonus Track),웅산,14.0
Y (Please Tell Me Why),프리 스타일(Free Style),14.0
봄이 오면,바람에 오르다,14.0
사랑의 바보,더 넛츠(The Nuts),14.0
봄이 오면 (Piano ver.),김윤아,14.0
얼마나 좋을까,루나플라이(Lunafly),14.0
We're In Love,제이레빗(J Rabbit),14.0
STUPID LIAR,BIGBANG,14.0
어쩐지,베란다 프로젝트(Verandah Project),14.0
Walking In The Sun,Travis(트래비스),14.0
Nord Plue,노드 플루(Nord Plue),14.0
어머니의 된장국 (feat. Ra.D),다이나믹 듀오(Dynamic Duo),14.0
비밀의 화원,이상은(Lee Tzsche),14.0
U,포맨,14.0
Love Song,에릭남,14.0
Track 3,이소라,14.0
애인... 있어요,이은미,14.0
Second First Date (feat. Ritha K) (Bonus Track From Jazz Set),디제이 아키(DJ AKI),14.0
사랑해요,김조한,14.0
거울아 거울아,포미닛(4minute),14.0
말 좀 해줘 (feat. Soulman),슈프림팀(Supreme Team),14.0
태양계,성시경,14.0
그대를 사랑하는 10가지 이유,이석훈 [SG워너비],14.0
Falling In Love,로지 피피(RossyPP),14.0
마지막 사랑 (Last Love),박진영,14.0
좋은사람,박효신,14.0
너에게 간다,윤종신,14.0
너무(無) 사랑했다고,하지원,14.0
그대가 있어 웃는다,나윤권,14.0
종로에서,제이에스(JS) [여성듀오],14.0
Endless,플라워(Flower),14.0
말리꽃,이승철,14.0
Gentleman,싸이(Psy),14.0
머뭇 머뭇,양파,14.0
모르죠,지오디(god),14.0
니까짓게,씨스타(Sistar),14.0
정,영턱스클럽(YTC),14.0
못해 (feat. 美),포맨,14.0
몽환의 숲 (feat. 이루마),키네틱플로우(K-Flow),14.0
너에게 난 나에게 넌 (영화 '클래식' 삽입곡),자전거 탄 풍경,14.0
나는 나비,YB,14.0
Happy Bubble (하우젠 CF 삽입곡),윈터플레이(Winterplay),14.0
대낮에 한 이별 (feat. 선예 Of Wonder Girls),박진영,14.0
니가 참 좋아,쥬얼리(Jewelry),14.0
첫사랑이죠,아이유 ＆ 나윤권,14.0
기대,나윤권,14.0
Beautiful Day,스프링롤(Springloll),14.0
다 줄꺼야 (Acustic ver.),조규만,14.0
그립고... 그리운...,박효신,14.0
당신과의 키스를 세어보아요,화요비,14.0
Crescendo (크레셴도),악동뮤지션(AKMU),14.0
춘천가는 기차,나희경 [Jazz],14.0
너였으면 (feat. 美 Of Dagsoul),바이브(Vibe),14.0
뒷모습,나윤권,14.0
취미는 사랑 (Album ver.),가을방학,14.0
루팡 (Lupin),카라(Kara),14.0
밥만 잘 먹더라,창민,14.0
립스틱 (Lipstick),오렌지캬라멜(Orange Caramel),14.0
쥴리엣,스탠딩 에그(Standing Egg),14.0
죽을 만큼 아파서 (feat. 멜로우),MC 몽,14.0
취중고백,필(Feel),14.0
물들어,BMK,14.0
Bike Riding,베란다 프로젝트(Verandah Project),14.0
화장을 고치고,왁스(Wax),14.0
인연 ('왕의 남자' 버전),이선희,14.0
I Love You,투애니원(2NE1),14.0
점점,브라운 아이즈(Brown Eyes),14.0
이별은 (feat. DC) (Song Mad Clown),매드 클라운(Mad Clown),14.0
바람이 불어오는 곳,제이레빗(J Rabbit),14.0
고백,지아(Zia),14.0
"입장정리 (feat. 최자 Of 다이나믹듀오, Simon D Of 슈프림팀)",프라이머리(Primary),14.0
있다 없으니까 (Gone Not Around Any Longer),씨스타19(Sistar 19),14.0
할머니,브로콜리너마저,14.0
내 여자친구가 되어줄래 (Song By 이승환 & 이소은),내추럴(Natural),14.0
나의 하루,박정현,14.0
바람의 왈츠,이아립,14.0
한 남자,김종국,14.0
회상 (December),터보(Turbo),14.0
걷기 좋은 날씨,아키버드(Aquibird),14.0
박수쳐,투애니원(2NE1),14.0
내 사람,SG워너비,14.0
공원여행 (Vocal By 현민),페퍼톤스(Peppertones),14.0
휴식,스탠딩 에그(Standing Egg),14.0
미소를 띄우며 나를 보낸 그 모습처럼,남예지,14.0
7년간의 사랑,규현(KYUHYUN),14.0
물어 본다,이승환,14.0
하늘에서 남자들이 비처럼 내려와,버블 시스터즈(Bubble Sisters),14.0
하늘만 허락한 사랑,엄정화,14.0
젊은 우리 사랑,검정치마,14.0
밤하늘의 별을.. (With KCM & No Noo),양정승(Kiroy Y),14.0
이상해,이적,14.0
널 기다리며,공일오비(015B),13.0
술이야,바이브(Vibe),13.0
하나의 사랑,박상민,13.0
꿈에,조덕배,13.0
널 위한 거야,미스 미스터(Mis=Mr),13.0
눈물나는 날에는,김연우,13.0
눈물,리아(Riaa),13.0
내꺼하자,인피니트(Infinite),13.0
17171771,자우림(Jaurim),13.0
사랑은...향기를 남기고,테이(Tei),13.0
피노키오 (Danger),에프엑스(f(x)),13.0
하늘 끝에서 흘린 눈물,주니퍼(Junyfore),13.0
60's Cardin,Glen Check(글렌체크),13.0
너를 사랑해 (feat. 하대환),S.E.S.,13.0
사랑이란,윤상,13.0
편지,JK 김동욱,13.0
선인장 (Song By 심규선),에피톤 프로젝트(Epitone Project),13.0
선인장,성시경,13.0
한숨이 늘었어 (duet with 이진우),에피톤 프로젝트(Epitone Project),13.0
Officially Missing You,긱스(Geeks),13.0
사랑일 뿐야 (feat. 김세황) (원곡가수 김민우),김연우,13.0
송가(送歌),더 클래식(The Classic),13.0
사랑하기에,김종국,13.0
혼자 남은 밤,김광석,13.0
홀로 (feat. 김나영),정키(Jung Key),13.0
너를 보내고,YB,13.0
사람들은 즐겁다,루시드 폴(Lucid Fall),13.0
봄의 목소리,알레그로(Allegrow),13.0
U Just,소울사이어티(Soulciety),13.0
Love Desire,크리스피 로즈(Crispy Rhodes),13.0
봄이왔다,타루(Taru),13.0
With Coffee...,브라운 아이즈(Brown Eyes),13.0
기억속의 먼 그대에게,박미경,13.0
You Are My Lady,정엽,13.0
미안해요,김건모,13.0
잔소리 (With 2AM 슬옹),아이유(IU),13.0
미친거니,바이브(Vibe),13.0
믿어요,동방신기(TVXQ!),13.0
왠지 느낌이 좋아,여행스케치,13.0
I Believe (엽기적인 그녀 O.S.T),신승훈,13.0
사랑했지만 (김광석),김범수,13.0
인연,김민종,13.0
이젠 그랬으면 좋겠네,조용필,13.0
가시,버즈(Buzz),13.0
유자차,브로콜리너마저,13.0
벽지무늬,아이유(IU),13.0
For You (돌아가줘),브라운 아이즈(Brown Eyes),13.0
내 마음에 비친 내 모습,김건모,13.0
마지막 콘서트,이승철,13.0
빗속에서,존 박(John Park),13.0
사랑은 MOVE,시크릿(Secret),13.0
