Title,Artist,cnt
그런 사람 또 없습니다,이승철,98.0
다시 사랑한다 말할까,김동률,84.0
너를 위해,임재범,79.0
소주 한 잔,임창정,70.0
서쪽 하늘,울랄라세션(Ulala Session),70.0
Never Ending Story,부활,70.0
벌써 일년,브라운 아이즈(Brown Eyes),70.0
고백,델리 스파이스(Deli Spice),70.0
꿈에,박정현,70.0
죽일 놈 (Guilty),다이나믹 듀오(Dynamic Duo),70.0
바람이 분다,이소라,70.0
기억의 습작,전람회,70.0
자니 (feat. Dynamic Duo),프라이머리(Primary),70.0
너랑 나,아이유(IU),70.0
여전히 아름다운지 (feat. 김연우),토이(Toy),70.0
나였으면,나윤권,69.0
사랑할수록,부활,69.0
그리워 그리워,노을,69.0
So Cool (쏘쿨),씨스타(Sistar),68.0
우산 (feat. 윤하),에픽 하이(Epik High),67.0
Officially Missing You,긱스(Geeks),63.0
다시 사랑 할 수 있을까 (feat. 다비치),포맨,61.0
사랑.. 그 놈,바비 킴(Bobby Kim),61.0
보고 싶다,김범수,60.0
사랑합니다...,팀(Tim),60.0
사랑한다는 흔한 말,김연우,60.0
좋아보여 (feat. 검정치마),버벌진트(Verbal Jint),59.0
낙원 (feat. 이재훈),싸이(Psy),58.0
I'm In Love (Piano RMX),라디(Ra.D),58.0
안녕이라고 말하지마,다비치,57.0
잘못된 만남,김건모,57.0
넌 감동이었어,성시경,56.0
미친거니,바이브(Vibe),56.0
거리에서,성시경,56.0
벚꽃 엔딩,버스커 버스커(Busker Busker),56.0
아름다운 이별,김건모,56.0
Trouble Maker,트러블메이커(Troublemaker),56.0
빗소리,윤하(Younha/ユンナ),56.0
사진을 보다가,바이브(Vibe),56.0
여수 밤바다,버스커 버스커(Busker Busker),56.0
미워도 다시 한번 (Original ver.),바이브(Vibe),56.0
거기서거기 (Without You),다이나믹 듀오(Dynamic Duo),56.0
행복한 나를,에코(ECO),56.0
내 눈물모아,서지원,56.0
날 닮은 너,임창정,56.0
"너에게 난, 나에게 넌",자전거 탄 풍경,56.0
사랑이 다른 사랑으로 잊혀지네,하림,56.0
"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),56.0
내게 오는 길 (Bonus Track),성시경,56.0
비가 오는 날엔,비스트(Beast),56.0
나혼자 (Alone),씨스타(Sistar),56.0
체념,빅마마(Big Mama),56.0
다행이다,이적,56.0
해변의 여인,쿨(COOL),56.0
사랑하기 때문에,유재하,55.0
내입술...따뜻한 커피처럼,샵(S#arp),55.0
끝사랑,김범수,54.0
그남자 그여자 (feat. 장혜진),바이브(Vibe),54.0
UGLY,투애니원(2NE1),54.0
가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,53.0
Aqua Man,빈지노(Beenzino),53.0
Roly-Poly,티아라(T-ara),52.0
I Love You,포지션(Position),51.0
정말 사랑했을까,브라운 아이드 소울(Brown Eyed Soul),51.0
다시 와주라,바이브(Vibe),51.0
널 생각해,원 모어 찬스(one more chance),51.0
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)",리쌍(Leessang),50.0
좋은 사람 (feat. 김형중),토이(Toy),50.0
Lonely,투애니원(2NE1),49.0
두사람,성시경,49.0
술이야,바이브(Vibe),49.0
늦은 후회,보보(Bobo),49.0
중독된 사랑,조장혁,49.0
Second First Date (feat. Ritha K) (Bonus Track From Jazz Set),디제이 아키(DJ AKI),48.0
Lovey-Dovey,티아라(T-ara),48.0
너에게 쓰는 편지,MC 몽,47.0
좋을텐데,성시경,47.0
FANTASTIC BABY,BIGBANG,46.0
차마...,성시경,46.0
칵테일 사랑,마로니에(Maronnier),46.0
365일,알리(Ali),46.0
꽃송이가,버스커 버스커(Busker Busker),45.0
그땐 그땐 그땐,슈프림팀(Supreme Team),45.0
"TV를 껐네... (feat. t윤미래, 권정열 Of 10cm)",리쌍(Leessang),45.0
촛불 하나,지오디(god),45.0
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),44.0
커피를 마시고 (Main ver.),어반 자카파(Urban Zakapa),44.0
사랑은 은하수 다방에서,10cm(십센치),44.0
들었다 놨다,데이브레이크(daybreak),44.0
천년의 사랑,박완규,44.0
순정(純情) (London Boys의 I'm Gonna Give My Heart 전주 인용),코요태,44.0
그날에 우리,어반 자카파(Urban Zakapa),43.0
