Title,Artist,cnt
술 한잔 해요,지아(Zia),73.0
슬퍼지려 하기 전에,쿨(COOL),70.0
신촌을 못가,포스트맨(Postmen),70.0
바람기억,나얼(Na-Ul),70.0
가슴 시린 이야기 (feat. 용준형 Of Beast),휘성,70.0
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),70.0
그녀와의 이별,김현정,70.0
사랑합니다...,팀(Tim),70.0
거리에서,성시경,70.0
안녕이라고 말하지마,다비치,70.0
인연 (동녘바람),이선희,70.0
벚꽃 엔딩,버스커 버스커(Busker Busker),70.0
소주 한 잔,임창정,70.0
끝사랑,김범수,70.0
만약에 말야 (전우성 Solo),노을,69.0
친구라도 될 걸 그랬어,거미,68.0
널 생각해,원 모어 찬스(one more chance),68.0
다시 사랑한다 말할까,김동률,68.0
"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),67.0
애상,쿨(COOL),66.0
벌써 일년,브라운 아이즈(Brown Eyes),66.0
잘못된 만남,김건모,66.0
보고 싶다,김범수,66.0
귀로,나얼(Na-Ul),66.0
저녁 하늘,에일리(Ailee),65.0
Never Ending Story,부활,65.0
어땠을까 (feat. 박정현),싸이(Psy),64.0
가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,63.0
So Cool (쏘쿨),씨스타(Sistar),63.0
그리워 그리워,노을,62.0
FANTASTIC BABY,BIGBANG,62.0
보여줄게,에일리(Ailee),62.0
Loving U (러빙유),씨스타(Sistar),62.0
여전히 아름다운지 (feat. 김연우),토이(Toy),61.0
비가 오는 날엔,비스트(Beast),61.0
사랑.. 그 놈,바비 킴(Bobby Kim),60.0
서쪽 하늘,울랄라세션(Ulala Session),59.0
Love Blossom (러브블러썸),케이윌(K.Will),59.0
Tears,소찬휘,59.0
너랑 나,아이유(IU),57.0
출발,김동률,57.0
낙원 (feat. 이재훈),싸이(Psy),57.0
좋은 날,아이유(IU),57.0
어떻게 사랑이 그래요,이승환,57.0
Poison,엄정화,57.0
사랑했나봐,윤도현,56.0
봄봄봄,로이킴,56.0
