Title,Artist,cnt
바람이 분다,이소라,55.0
좋은 날,아이유(IU),52.0
죽일 놈 (Guilty),다이나믹 듀오(Dynamic Duo),44.0
보고 싶다,김범수,44.0
소주 한 잔,임창정,41.0
체념,빅마마(Big Mama),40.0
미워도 다시 한번 (Original ver.),바이브(Vibe),37.0
정말 사랑했을까,브라운 아이드 소울(Brown Eyed Soul),35.0
Missing You,플라이 투 더 스카이(Fly To The Sky),34.0
너랑 나,아이유(IU),34.0
비와 당신 (영화 '라디오 스타 '삽입곡),럼블 피쉬(Rumble Fish),34.0
시작,박기영,33.0
Go Away,투애니원(2NE1),33.0
고백,박혜경,32.0
"헤어지지 못하는 여자, 떠나가지 못하는 남자 (feat. 정인)",리쌍(Leessang),31.0
너를 위해,임재범,30.0
귀로,나얼(Na-Ul),30.0
그런 사람 또 없습니다,이승철,30.0
사랑은 은하수 다방에서,10cm(십센치),29.0
가로수 그늘 아래 서면,장재인,28.0
Amelie,포터블 그루브 나인(Portable Groove 09),28.0
잔소리 (With 2AM 슬옹),아이유(IU),28.0
사랑.. 그 놈,바비 킴(Bobby Kim),28.0
자기야 여보야 사랑아,린(LYn),28.0
누구보다 널 사랑해,비쥬(Bijou),28.0
거리에서,성시경,27.0
"I Love U, Oh Thank U (feat. 김태우)",MC 몽,27.0
사랑은 언제나 목마르다,유미,27.0
사랑할수록,부활,27.0
오 나의 여신님,성시경,27.0
가슴 시린 이야기 (feat. 용준형 Of Beast),휘성,27.0
내 귀에 캔디 (feat. 택연 Of 2PM),백지영,27.0
결혼까지 생각했어,휘성,27.0
꽃송이가,버스커 버스커(Busker Busker),26.0
별처럼,태연 (Taeyeon),26.0
좋을텐데,성시경,26.0
넌 감동이었어,성시경,25.0
"Officially Missing You, Too",긱스(Geeks),25.0
세월이 가면,박보람,25.0
아름다운 것,언니네 이발관,25.0
연애 (feat. Hanyi),프리 스타일(Free Style),25.0
Heaven,에일리(Ailee),24.0
끝사랑,김범수,24.0
너에게 쓰는 편지,MC 몽,24.0
난 사랑에 빠졌죠,박지윤,24.0
안녕이라고 말하지마,다비치,24.0
여전히 아름다운지 (feat. 김연우),토이(Toy),23.0
비오는 압구정,브라운 아이즈(Brown Eyes),23.0
좋아보여 (feat. 검정치마),버벌진트(Verbal Jint),23.0
Je T'aime,해이(Hey),23.0
지나간다,김범수,23.0
자니 (feat. Dynamic Duo),프라이머리(Primary),22.0
사랑한다는 흔한 말,김연우,22.0
나비 무덤,테이크(Take),22.0
사랑과 전쟁 (Narr. 하하),다비치,22.0
다시 사랑한다 말할까,김동률,22.0
"봄날, 벚꽃 그리고 너",에피톤 프로젝트(Epitone Project),22.0
이럴거면,아이비(IVY),22.0
어땠을까 (feat. 박정현),싸이(Psy),21.0
Hello,허각,21.0
사진을 보다가,바이브(Vibe),21.0
꽃피는 봄이오면,BMK,21.0
회상 (December),터보(Turbo),21.0
우산 (feat. 윤하),에픽 하이(Epik High),21.0
멀어 (feat. Beenzino),프라이머리(Primary),21.0
One Love,엠씨 더 맥스(M.C the Max),21.0
홀로 (feat. 김나영),정키(Jung Key),21.0
바람기억,나얼(Na-Ul),21.0
미워요,정인,20.0
汝歌(여가),장연주,20.0
뻔한 멜로디 (feat. Crush),Zion.T,20.0
뜨거운 안녕 (feat. 성시경),싸이(Psy),20.0
"Love (feat. Bumkey, Paloalto)",프라이머리(Primary),20.0
그댄 행복에 살텐데,리즈(Leeds),20.0
잘가요,정재욱,20.0
...안 되나요... (부제: 화양연화),휘성,19.0
그날에 우리,어반 자카파(Urban Zakapa),19.0
붉은 달 (feat. 소히),클로버(Clover) [남성솔로],19.0
정말로 사랑한다면,버스커 버스커(Busker Busker),19.0
With Coffee...,브라운 아이즈(Brown Eyes),19.0
Boogie On & On,빈지노(Beenzino),19.0
날 닮은 너,임창정,19.0
P.S. I Love You,박정현,19.0
하늘을 달리다,이적,19.0
벌써 일년,브라운 아이즈(Brown Eyes),19.0
달아요,박정현,18.0
Trouble Maker,트러블메이커(Troublemaker),18.0
그런가봐요...,브이원 (V.One),18.0
어떤가요,화요비,18.0
모노드라마 (With 유승우),허각,18.0
원하고 원망하죠,애즈 원(As One),18.0
여수 밤바다,버스커 버스커(Busker Busker),18.0
가질 수 없는 너,뱅크(Bank),17.0
I'm In Love (Piano RMX),라디(Ra.D),17.0
Gentle Rain,클래지콰이(Clazziquai),17.0
사랑이라고 말하기엔 (feat. 연호),어반스페이스(Urbanspace),17.0
"그대와 나, 설레임 (feat. 소울맨)",어쿠스틱 콜라보(Acoustic Collabo),17.0
오늘밤은 어둠이 무서워요,10cm(십센치),17.0
Day By Day,애즈 원(As One),17.0
그XX,G-DRAGON,17.0
못된여자 (feat. 서인영),원투(Onetwo),17.0
한 남자,김종국,17.0
"수고했어, 오늘도",옥상달빛,17.0
죽을 만큼 아파서 (feat. 멜로우),MC 몽,16.0
Loving U (러빙유),씨스타(Sistar),16.0
봄의 기적,이지형,16.0
꿈에,박정현,16.0
널 생각해,원 모어 찬스(one more chance),16.0
기억의 습작,전람회,16.0
좋은 사람 Sad Story (feat. 이승환),토이(Toy),16.0
나만 몰랐던 이야기,아이유(IU),16.0
이 밤이 지나면,임재범,16.0
천년의 사랑,박완규,16.0
굿모닝 레이디,바닐라 어쿠스틱(Vanilla Acoustic),16.0
사랑의 時,엠씨 더 맥스(M.C the Max),16.0
지우개,알리(Ali),16.0
Couple Song (feat. Kelley),라디(Ra.D),16.0
Be My Baby,원더걸스(Wonder Girls),15.0
환절기,에피톤 프로젝트(Epitone Project),15.0
사랑은 창밖에 빗물 같아요,지아(Zia),15.0
With Me,휘성,15.0
Aqua Man,빈지노(Beenzino),15.0
바야흐로 사랑의 계절 (With 박새별),이한철,15.0
"바람, 어디에서 부는지",루시드 폴(Lucid Fall),15.0
Y (Please Tell Me Why),프리 스타일(Free Style),15.0
기억을 걷는 시간,넬(Nell),15.0
붉은 노을,BIGBANG,15.0
약속해 약속해 (feat. G.NA),버벌진트(Verbal Jint),15.0
우주보다 좋아해 (I Love You More Than Universe),도나웨일(Donawhale),15.0
고백,델리 스파이스(Deli Spice),15.0
Roly-Poly,티아라(T-ara),15.0
영원한 사랑,핑클(Fin.K.L),15.0
Sweet Dream,장나라,15.0
바보,t윤미래,15.0
그땐 그땐 그땐,슈프림팀(Supreme Team),15.0
Chocolate Drive,모이다 밴드(Moida Band),15.0
지붕 위의 고양이 (feat. 장윤주),정재형,14.0
Kissing You,소녀시대,14.0
앵무새,하울(HowL),14.0
나 어때,걸스데이(Girl's Day),14.0
날짜 변경선,클래지콰이(Clazziquai),14.0
아이처럼,김동률,14.0
Ma Boy (마보이),씨스타19(Sistar 19),14.0
아버지 (Live - Bonus Track),김경호,14.0
Love (With 소규모 아카시아 밴드) (유승호 슈퍼100 CF 삽입곡),요조(Yozoh),14.0
Love is coffee (맥심 광고 삽입곡),강균성 [노을],14.0
Just A Feeling,어반 자카파(Urban Zakapa),14.0
날 위한 이별,성시경,14.0
되돌리다,이승기,14.0
어제처럼,주(Joo),14.0
광화문연가,이수영,14.0
운명,쿨(COOL),14.0
Say I Love You,포맨,14.0
겁쟁이,버즈(Buzz),14.0
She's Gone,디셈버(December),14.0
이미 넌 고마운 사람,김연우,14.0
강남스타일,싸이(Psy),14.0
이뻐요,윤건,14.0
"이제 그만 화 풀어요 (With 준범, 현규, 현석)",지나(G.NA),14.0
You Mean Everything To Me,박정현,14.0
전부 너였다,노을,14.0
Wizard Of OZ,클래지콰이(Clazziquai),14.0
일기,김범수,14.0
Sunday,재주소년,14.0
Superfantastic (아시아나 항공 CF 배경음악) (Vocal By Westwind),페퍼톤스(Peppertones),14.0
있다 없으니까 (Gone Not Around Any Longer),씨스타19(Sistar 19),14.0
Think About' Chu,아소토 유니온(Asoto Union),14.0
"TV를 껐네... (feat. t윤미래, 권정열 Of 10cm)",리쌍(Leessang),14.0
고양이 왈츠 (Acoustic ver.) (SBS 월화드라마 '내게 거짓말을 해봐' 삽입),Lucia(심규선),14.0
귀향,김동률,14.0
얼음연못,두번째 달,14.0
Rain Drop,아이유(IU),14.0
그리움만 쌓이네,조규찬,14.0
Moon River,Andy Williams(앤디 윌리암스),14.0
그려줄래 (Vocal 전민),키스 미 조이(Kiss Me Joy),14.0
Morrie Note,모리(Morrie),14.0
그런 날에는,조성모,14.0
죽겠네 (Album ver.),10cm(십센치),14.0
My Story,브라운 아이드 소울(Brown Eyed Soul),14.0
My Style (Hidden Track),브라운 아이드 걸스,14.0
Never Ending Story,부활,14.0
New York New York (feat. Taoka Miki From Indigo),우쿨렐레 피크닉(Ukulele Picnic),14.0
연애소설,가비엔제이(Gavy N.J.),14.0
좋은 사람 있으면 소개시켜줘,럼블 피쉬(Rumble Fish),14.0
그대를 그리다 (KBS 드라마 성균관 스캔들 피아노 테마),윤한(Yoonhan),14.0
그대를 그리다 (Bonus Track),윤한(Yoonhan),14.0
예쁜 그대 (feat. JK & Emenes),동경소녀,14.0
오! 허니,시크릿(Secret),14.0
오늘이야 (duet with 이상),애즈 원(As One),14.0
그녀를 사랑해줘요,하동균,14.0
내 눈물이 하는 말,견우,14.0
살다가,SG워너비,14.0
사랑이라 쓰고 아픔이라 부른다,서인영,14.0
사랑합니다...,팀(Tim),14.0
사랑해,스윗소로우(SWEET SORROW),14.0
사랑해 사랑해,슈가버블(Sugar Bubble),14.0
단 한번의 사랑,린(LYn),14.0
아멜리에 (Amelie),박혜경,14.0
다시 사랑 할 수 있을까 (feat. 다비치),포맨,14.0
새벽 4시,10cm(십센치),14.0
쿨하게 헤어지는 방법 (feat. 잔디),김진표(JP),14.0
생각날거야,다비치,14.0
서랍을 비우다,보드카 레인(Vodka Rain),14.0
다 알아요,양파,14.0
니가 참 좋아,쥬얼리(Jewelry),14.0
늘 지금처럼 (Come On Baby Tonight),이예린,14.0
눈물날려 그래,박효신,14.0
눈 녹듯,패닉(Panic),14.0
카페인 (feat. 용준형 Of Beast),양요섭 [비스트],14.0
누구라도 그러하듯이,이수영,14.0
"소년, 소녀 (With 토마스쿡)",정은채 [배우],14.0
For Evans,잠바(Jamba),14.0
널 사랑하겠어 (I Choose To Love You),씨스타(Sistar),14.0
Funny Star,박정현,14.0
듣고 있어?,스윙스(Swings),14.0
Brown City,브라운 아이드 소울(Brown Eyed Soul),14.0
너에게.. 기대,메이트(Mate),14.0
매일밤,EXID(이엑스아이디),14.0
"1,2,3,4 (원,투,쓰리,포)",이하이,14.0
봄봄봄,로이킴,14.0
보조개,이적,14.0
보이나요?,루시드 폴(Lucid Fall),14.0
별별이별,구혜선,14.0
사랑 +,애즈 원(As One),14.0
헤어지자고 (Piano Nocturne),윤건,14.0
A Little Girl Dreaming,푸딩(Pudding),14.0
행복한 나를,에코(ECO),14.0
사랑에 아파본 적 있나요,린(LYn),14.0
해변의 여인,쿨(COOL),14.0
미안해서 미안해 (feat. G.NA),김진표(JP),14.0
사랑을 느낄때... (feat. Koffee),버벌진트(Verbal Jint),14.0
모두 어디로 간걸까? (feat. 이적),토이(Toy),14.0
사랑의 시작은 고백에서부터,소울크라이(SoulCry),14.0
사랑의 인사,씨야(SeeYa),14.0
Blessed,클래지콰이(Clazziquai),14.0
Blowin' My Mind,브라운 아이드 소울(Brown Eyed Soul),14.0
사랑이 다른 사랑으로 잊혀지네,하림,14.0
사랑이 올까요,박정현,14.0
편한 사람이 생겼어 (duet with 브랜뉴데이 채린),일락(一樂),14.0
송인(送人),쿨(COOL),14.0
잔혹한 여행,한희정,14.0
너뿐이라고,레인보우(Rainbow),14.0
아까워,재지팩트(Jazzyfact),14.0
초코캣,이바디(Ibadi),14.0
첫사랑,버스커 버스커(Busker Busker),14.0
내게 오는 길,성시경,14.0
"Hawaian Couple (영화 '내 사랑' 주제곡, 에뛰드 복숭아송 원곡)",허밍 어반 스테레오(Humming Urban Stereo),14.0
청혼,노을,14.0
내일을 묻는다 (Album Edit),제이레빗(J Rabbit),14.0
슬픈 다짐 (Original),다비치,14.0
Hello!,포맨,14.0
Goodbye,카밀라(Camilla),14.0
오래된 노래,김동률,13.0
듣는편지,40(포티),13.0
거기서거기 (Without You),다이나믹 듀오(Dynamic Duo),13.0
그냥 걸었어,임종환,13.0
동감,나윤권,13.0
실화,린(LYn),13.0
Choop Choop,Davink(다빈크),13.0
하루 (M/V ver.),김범수,13.0
너 때문에 미쳐,티아라(T-ara),13.0
낙원 (feat. 이재훈),싸이(Psy),13.0
어제처럼,제이(J.ae),13.0
사랑을 사랑한다 (feat. 박찬재),박선주,13.0
Sexy Love,티아라(T-ara),13.0
차라의 숲,러브홀릭(Loveholic),13.0
난 좋아,성시경,13.0
이별 못한 이별 (내 이름은 김삼순),러브홀릭(Loveholic),13.0
사랑에 빠지고 싶다,김조한,13.0
챔피언,싸이(Psy),13.0
가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학,13.0
바래진 기억에,박지윤,13.0
사랑 그 몹쓸 병,휘성,13.0
첫눈에,윤하(Younha/ユンナ),13.0
Until You Come Back To Me,Kentaro Takizawa(켄타로 타키자와),13.0
Until The Last Moment,사피에르(Saphier),13.0
비가 오는 날엔,비스트(Beast),13.0
