"","Title","freq"
"121","그녀를 사랑해줘요%by%하동균",135
"122","그녀와의 이별%by%김현정",134
"123","Rain Drop%by%아이유(IU)",133
"124","술이야%by%바이브(Vibe)",132
"125","늦은 후회%by%보보(Bobo)",131
"126","연애 (feat. Hanyi)%by%프리 스타일(Free Style)",131
"127","남과 여 (feat. 김범수)%by%박선주",130
"128","사랑했나봐%by%윤도현",130
"129","천년의 사랑%by%박완규",130
"130","촛불 하나%by%지오디(god)",130
"131","고백%by%뜨거운 감자(Hot Potato)",129
"132","? (물음표) (feat. 최자 Of 다이나믹듀오, Zion.T)%by%프라이머리(Primary)",128
"133","홀로 (feat. 김나영)%by%정키(Jung Key)",128
"134","Beautiful Day%by%어반 자카파(Urban Zakapa)",127
"135","UGLY%by%투애니원(2NE1)",127
"136","가질 수 없는 너%by%뱅크(Bank)",127
"137","너에게 쓰는 편지%by%MC 몽",127
"138","사랑하기 때문에%by%유재하",127
"139","넌 이별 난 아직 (With 한소현 Of 3rd Coast)%by%스탠딩 에그(Standing Egg)",126
"140","다시 만난 날%by%휘성",126
"141","회상 (December)%by%터보(Turbo)",126
"142","아이처럼%by%김동률",125
"143","어떻게 사랑이 그래요%by%이승환",125
"144","칵테일 사랑%by%마로니에(Maronnier)",125
"145","넋%by%40(포티)",124
"146","순정(純情) (London Boys의 I'm Gonna Give My Heart 전주 인용)%by%코요태",124
"147","화장을 고치고%by%왁스(Wax)",124
"148","라라라%by%SG워너비",122
"149","MONSTER%by%BIGBANG",121
"150","가지마 가지마%by%브라운 아이즈(Brown Eyes)",121
"151","바보%by%박효신",121
"152","Hello%by%허각",120
"153","I Need You%by%허각",120
"154","High High%by%G-DRAGON",119
"155","내게 오는 길 (Bonus Track)%by%성시경",119
"156","사랑의 時%by%엠씨 더 맥스(M.C the Max)",119
"157","꽃송이가%by%버스커 버스커(Busker Busker)",118
"158","못해 (feat. 美)%by%포맨",118
"159","이미 슬픈 사랑%by%야다(Yada)",118
"160","한여름날의 꿈 (duet with 옥주현)%by%SG워너비",118
"161","잘가요%by%정재욱",117
"162","눈물 (feat. 유진 Of 더 씨야)%by%리쌍(Leessang)",116
"163","슬퍼지려 하기 전에%by%쿨(COOL)",116
"164","챔피언%by%싸이(Psy)",116
"165","Tears%by%소찬휘",115
"166","내가 너의 곁에 잠시 살았다는 걸%by%김연우",115
"167","씨스루 (feat. 개코, Zion.T)%by%프라이머리(Primary)",115
"168","I'm In Love%by%나르샤 [브라운아이드걸스]",114
"169","꽃피는 봄이오면%by%BMK",114
"170","Y (Please Tell Me Why)%by%프리 스타일(Free Style)",113
"171","되돌리다%by%이승기",113
"172","오아시스 (feat. 이재훈)%by%브라운 아이드 걸스",113
"173","Baby Baby%by%포맨",112
"174","Bubble Pop!%by%현아 [포미닛]",112
"175","Love Blossom (러브블러썸)%by%케이윌(K.Will)",112
"176","눈물샤워 (feat .에일리)%by%배치기",112
"177","아로하%by%쿨(COOL)",112
"178","Fiction%by%비스트(Beast)",111
"179","Missing You (feat. 김윤아 Of 자우림)%by%G-DRAGON",111
"180","내꺼하자%by%인피니트(Infinite)",111
"181","Second First Date (feat. Ritha K) (Bonus Track From Jazz Set)%by%디제이 아키(DJ AKI)",110
"182","눈물이 안났어%by%임정희",110
"183","봄을 그리다%by%어반 자카파(Urban Zakapa)",110
"184","좋은사람%by%박효신",110
"185","Lonely%by%투애니원(2NE1)",109
"186","달아요%by%박정현",109
"187","빗소리%by%윤하(Younha/ユンナ)",109
"188","파도%by%유엔(UN)",109
"189","Love Day%by%양요섭 [비스트]",108
"190","Missing You%by%플라이 투 더 스카이(Fly To The Sky)",108
"191","다시 와주라%by%바이브(Vibe)",108
"192","바래진 기억에%by%박지윤",108
"193","공원에서%by%유희열",107
"194","날 닮은 너%by%임창정",107
"195","어제처럼%by%제이(J.ae)",107
"196","오래된 노래%by%김동률",107
"197","Hot Summer%by%에프엑스(f(x))",106
"198","사랑은 맛있다 ♡%by%휘성",106
"199","시간이 흐른 뒤 (As Time Goes By)%by%t윤미래",106
"200","좋아 (JOAH)%by%박재범(Jay Park)",106
"201","좋아해%by%요조(Yozoh)",106
"202","...사랑했잖아...%by%린(LYn)",105
"203","I Don't Care%by%투애니원(2NE1)",105
"204","버스 안에서%by%자자(Zaza)",105
"205","정%by%영턱스클럽(YTC)",105
"206","정말로 사랑한다면%by%버스커 버스커(Busker Busker)",105
"207","Couple Song (feat. Kelley)%by%라디(Ra.D)",104
"208","러브 레시피%by%거미",104
"209","사랑에 빠지고 싶다%by%김조한",104
"210","원하고 원망하죠%by%애즈 원(As One)",104
"211","취중진담(醉中眞談)%by%전람회",104
"212","나 돌아가%by%임정희",103
"213","니가 참 좋아%by%쥬얼리(Jewelry)",103
"214","하루 끝%by%아이유(IU)",103
"215","I Love U, Oh Thank U (feat. 김태우)%by%MC 몽",102
"216","거기서거기 (Without You)%by%다이나믹 듀오(Dynamic Duo)",102
"217","공원여행 (Vocal By 현민)%by%페퍼톤스(Peppertones)",102
"218","라라라%by%이수영",102
"219","아시나요%by%조성모",102
"220","제주도의 푸른 밤%by%성시경",102
"221","BK Love%by%MC 스나이퍼(MC Sniper)",101
"222","바람이 불어오는 곳%by%제이레빗(J Rabbit)",101
"223","안아줘%by%정준일 [메이트]",101
"224","점점%by%브라운 아이즈(Brown Eyes)",101
"225","한사람을 위한 마음%by%럼블 피쉬(Rumble Fish)",101
