Artist,cnt
성시경,279.0
휘성,238.0
아이유(IU),197.0
김동률,158.0
김범수,151.0
터보(Turbo),146.0
이승환,139.0
박정현,137.0
브라운 아이드 소울(Brown Eyed Soul),137.0
김건모,131.0
어반 자카파(Urban Zakapa),130.0
임재범,126.0
김광석,123.0
박효신,119.0
토이(Toy),106.0
쿨(COOL),101.0
이소라,99.0
리쌍(Leessang),99.0
바이브(Vibe),98.0
김연우,98.0
SG워너비,96.0
지오디(god),94.0
별,94.0
케이윌(K.Will),93.0
엠씨 더 맥스(M.C the Max),92.0
노을,89.0
유아시대,87.0
브라운 아이즈(Brown Eyes),87.0
임창정,86.0
소녀시대,86.0
김현철,84.0
이기찬,80.0
투애니원(2NE1),79.0
코요태,78.0
싸이(Psy),77.0
S.E.S.,77.0
10cm(십센치),76.0
린(LYn),74.0
럼블 피쉬(Rumble Fish),73.0
신승훈,73.0
마이티 마우스(Mighty Mouth),73.0
장나라,73.0
이수영,72.0
유엔(UN),71.0
조성모,71.0
미스터 투(Mr.2),68.0
프리 스타일(Free Style),67.0
DJ DOC,67.0
슈퍼주니어(Super Junior),66.0
넬(Nell),64.0
나얼(Na-Ul),63.0
포맨,61.0
에피톤 프로젝트(Epitone Project),61.0
루싸이트 토끼,61.0
윤상,60.0
애프터 스쿨(After School) ,59.0
김진표(JP),59.0
김민종,58.0
김윤아,58.0
핑클(Fin.K.L),57.0
박지헌,55.0
다이나믹 듀오(Dynamic Duo),55.0
디바(Diva),54.0
t윤미래,53.0
김태우,53.0
윈터플레이(Winterplay),52.0
동방신기(TVXQ!),52.0
플라이 투 더 스카이(Fly To The Sky),50.0
서영은,50.0
제이(J.ae),49.0
제이레빗(J Rabbit),49.0
티아라(T-ara),49.0
박지윤,49.0
캔(Can),48.0
라디(Ra.D),48.0
샵(S#arp),47.0
서지원,46.0
부활,46.0
조관우,46.0
윤건,46.0
슈프림팀(Supreme Team),43.0
김조한,43.0
이승기,43.0
빈지노(Beenzino),42.0
이적,42.0
지아(Zia),42.0
이루(Eru),41.0
BIGBANG,41.0
화요비,40.0
팀(Tim),40.0
G-DRAGON,39.0
신화,39.0
짙은(Zitten),39.0
데이브레이크(daybreak),39.0
테이(Tei),38.0
빅마마(Big Mama),38.0
애즈 원(As One),38.0
강수지,38.0
지누션(Jinusean),38.0
바비 킴(Bobby Kim),37.0
프라이머리(Primary),37.0
나윤권,37.0
거미,36.0
스윗소로우(SWEET SORROW),36.0
브로콜리너마저,36.0
이승철,36.0
재주소년,36.0
HITCHHIKER (히치하이커),35.0
