Artist,cnt
성시경,774.0
김동률,539.0
프라이머리(Primary),518.0
아이유(IU),513.0
어반 자카파(Urban Zakapa),493.0
휘성,426.0
김범수,372.0
버스커 버스커(Busker Busker),367.0
쿨(COOL),322.0
싸이(Psy),301.0
에피톤 프로젝트(Epitone Project),296.0
윤종신,290.0
10cm(십센치),277.0
박효신,277.0
토이(Toy),273.0
브라운 아이드 소울(Brown Eyed Soul),268.0
이적,265.0
김광석,257.0
제이레빗(J Rabbit),241.0
임창정,235.0
이승기,229.0
리쌍(Leessang),229.0
바이브(Vibe),225.0
포맨,221.0
지오디(god),218.0
브라운 아이즈(Brown Eyes),214.0
씨스타(Sistar),214.0
노을,208.0
스탠딩 에그(Standing Egg),204.0
투애니원(2NE1),202.0
나얼(Na-Ul),201.0
김연우,196.0
빈지노(Beenzino),195.0
김건모,194.0
다이나믹 듀오(Dynamic Duo),194.0
버벌진트(Verbal Jint),194.0
케이윌(K.Will),193.0
신해철,189.0
노리플라이(no reply),188.0
허각,187.0
린(LYn),185.0
이소라,184.0
다비치,181.0
G-DRAGON,180.0
에일리(Ailee),177.0
박정현,176.0
조성모,174.0
브로콜리너마저,168.0
에픽 하이(Epik High),167.0
BIGBANG,163.0
클래지콰이(Clazziquai),162.0
이승환,161.0
가을방학,159.0
어쿠스틱 콜라보(Acoustic Collabo),155.0
윤하(Younha/ユンナ),155.0
이승철,152.0
MC 몽,151.0
소녀시대,151.0
커피소년,148.0
백지영,145.0
바닐라 어쿠스틱(Vanilla Acoustic),143.0
지아(Zia),141.0
이수영,140.0
플라이 투 더 스카이(Fly To The Sky),139.0
가인 [브라운아이드걸스],139.0
거미,138.0
SG워너비,135.0
조규찬,135.0
슈프림팀(Supreme Team),132.0
이선희,132.0
부활,131.0
재주소년,128.0
신승훈,127.0
라디(Ra.D),126.0
럼블 피쉬(Rumble Fish),126.0
윈터플레이(Winterplay),125.0
서영은,124.0
엠씨 더 맥스(M.C the Max),121.0
넬(Nell),120.0
나윤권,115.0
긱스(Geeks),115.0
웅산,114.0
2AM,114.0
원 모어 찬스(one more chance),111.0
박지윤,110.0
김윤아,110.0
페퍼톤스(Peppertones),108.0
정준일 [메이트],108.0
캐스커(Casker),108.0
유희열,105.0
장재인,104.0
t윤미래,103.0
터보(Turbo),102.0
데이브레이크(daybreak),100.0
걸스데이(Girl's Day),99.0
임재범,99.0
비스트(Beast),98.0
존 박(John Park),98.0
타루(Taru),97.0
별,97.0
40(포티),97.0
윤상,97.0
전람회,96.0
양파,94.0
바비 킴(Bobby Kim),93.0
스웨덴세탁소,93.0
블락비(Block B),93.0
알리(Ali),92.0
이지형,92.0
공일오비(015B),91.0
프리 스타일(Free Style),90.0
윤건,89.0
넥스트(N.EX.T),89.0
옥상달빛,89.0
하림,89.0
배치기,88.0
정엽,87.0
요조(Yozoh),87.0
양요섭 [비스트],86.0
제이(J.ae),84.0
티아라(T-ara),82.0
이기찬,82.0
악동뮤지션(AKMU),82.0
김태우,81.0
베란다 프로젝트(Verandah Project),81.0
인피니트(Infinite),80.0
Lucia(심규선),80.0
몽니(Monni),80.0
짙은(Zitten),79.0
브라운 아이드 걸스,79.0
왁스(Wax),78.0
써니힐(Sunny Hill),78.0
지나(G.NA),77.0
투엘슨(2LSON),76.0
S.E.S.,75.0
화요비,74.0
정키(Jung Key),74.0
루시드 폴(Lucid Fall),72.0
언니네 이발관,70.0
라이너스의 담요(Linus' Blanket),70.0
애즈 원(As One),69.0
김현철,69.0
델리 스파이스(Deli Spice),69.0
빅마마(Big Mama),68.0
헤르쯔 아날로그(Herz Analog),67.0
루싸이트 토끼,67.0
뜨거운 감자(Hot Potato),66.0
스윙스(Swings),66.0
유엔(UN),66.0
허소영,65.0
에코 브릿지(Eco bridge),65.0
JUNIEL(주니엘),64.0
자전거 탄 풍경,64.0
정인,64.0
하동균,64.0
버즈(Buzz),63.0
박새별,63.0
메이트(Mate),62.0
동경소녀,61.0
김조한,60.0
크루셜스타(Crucial Star),60.0
울랄라세션(Ulala Session),60.0
허밍 어반 스테레오(Humming Urban Stereo),60.0
남예지,59.0
김종국,59.0
팀(Tim),59.0
박재범(Jay Park),57.0
이하이,56.0
스윗소로우(SWEET SORROW),56.0
영준 [Brown Eyed Soul],55.0
두번째 달,55.0
엄정화,54.0
박기영,54.0
러브홀릭(Loveholic),53.0
레이디스 코드(LADIES' CODE),53.0
한희정,53.0
태양,53.0
신용재 [4men],52.0
포지션(Position),52.0
애프터 스쿨(After School) ,52.0
레인보우(Rainbow),51.0
로이킴,50.0
주(Joo),50.0
주영(JooYoung),50.0
트러블메이커(Troublemaker),48.0
김형중,48.0
시크릿(Secret),48.0
리즈(Leeds),48.0
소란(Soran),48.0
김진표(JP),47.0
검정치마,47.0
에프엑스(f(x)),47.0
장윤주,47.0
정재욱,47.0
박선주,46.0
오렌지캬라멜(Orange Caramel),46.0
Zion.T,46.0
DJ DOC,46.0
보드카 레인(Vodka Rain),46.0
알레그로(Allegrow),45.0
좋아서 하는 밴드,44.0
강균성 [노을],44.0
원더걸스(Wonder Girls),44.0
해이(Hey),44.0
모리(Morrie),43.0
유미,43.0
테이(Tei),43.0
김광진,43.0
도나웨일(Donawhale),43.0
보보(Bobo),42.0
코쿤벨즈(Cocoon Bells),42.0
유재하,42.0
더 레이(The Ray),42.0
포스트맨(Postmen),41.0
정기고(Junggigo),40.0
이아립,40.0
매드 클라운(Mad Clown),40.0
알렉스(Alex) [클래지콰이],40.0
권순관,40.0
토마스 쿡(Thomas Cook),40.0
참깨와 솜사탕,39.0
젠틀 레인(Gentle Rain),39.0
에이핑크(Apink),39.0
현아 [포미닛],39.0
박진영,39.0
동방신기(TVXQ!),39.0
자우림(Jaurim),38.0
허민,38.0
랄라스윗(lalasweet),38.0
유아시대,38.0
핑클(Fin.K.L),38.0
이정현,37.0
여행스케치,37.0
이루펀트(Eluphant),37.0
브이오에스(V.O.S.),37.0
나비(Navi),37.0
아이비(IVY),37.0
마이티 마우스(Mighty Mouth),37.0
패닉(Panic),36.0
달콤한 소금,36.0
디어 클라우드(Dear Cloud),36.0
홍대광,36.0
김현정,36.0
헤리티지(Heritage),36.0
카라(Kara),36.0
조원선,35.0
테테(Tete),35.0
양양(YangYang),35.0
이그나이트(Ignite),35.0
윤한(Yoonhan),35.0
Various Artists,34.0
디제이 아키(DJ AKI),34.0
디바(Diva),34.0
문명진,33.0
Glen Check(글렌체크),33.0
아키버드(Aquibird),33.0
소울맨(Soulman),33.0
나르샤 [브라운아이드걸스],33.0
나윤선,33.0
씨스타19(Sistar 19),33.0
강아솔,33.0
