Artist,cnt
성시경,257.0
김동률,189.0
김광석,178.0
김건모,176.0
리쌍(Leessang),136.0
브라운 아이즈(Brown Eyes),124.0
에피톤 프로젝트(Epitone Project),118.0
아이유(IU),114.0
신승훈,113.0
바이브(Vibe),103.0
브라운 아이드 소울(Brown Eyed Soul),103.0
박효신,98.0
10cm(십센치),97.0
다이나믹 듀오(Dynamic Duo),94.0
프라이머리(Primary),93.0
엠씨 더 맥스(M.C the Max),92.0
소녀시대,92.0
어반 자카파(Urban Zakapa),92.0
포맨,89.0
윤하(Younha/ユンナ),85.0
김범수,83.0
이승환,83.0
박정현,81.0
씨스타(Sistar),80.0
노을,80.0
지아(Zia),80.0
화요비,78.0
백지영,78.0
지오디(god),75.0
휘성,73.0
엄정화,72.0
투애니원(2NE1),72.0
G-DRAGON,70.0
버스커 버스커(Busker Busker),70.0
터보(Turbo),69.0
쿨(COOL),69.0
버벌진트(Verbal Jint),69.0
S.E.S.,66.0
부활,65.0
노리플라이(no reply),65.0
SG워너비,63.0
이적,61.0
싸이(Psy),61.0
김종국,61.0
이승기,58.0
김연우,58.0
조성모,58.0
이소라,57.0
린(LYn),57.0
다비치,57.0
샵(S#arp),57.0
거미,56.0
임재범,56.0
김현정,56.0
토이(Toy),55.0
델리 스파이스(Deli Spice),55.0
슈프림팀(Supreme Team),54.0
양파,54.0
임창정,53.0
넬(Nell),52.0
나얼(Na-Ul),52.0
t윤미래,52.0
나윤권,51.0
버즈(Buzz),50.0
허각,50.0
어쿠스틱 콜라보(Acoustic Collabo),49.0
티아라(T-ara),49.0
가을방학,49.0
박진영,49.0
김윤아,49.0
장혜진,48.0
하림,47.0
테이(Tei),47.0
스탠딩 에그(Standing Egg),46.0
비스트(Beast),46.0
에픽 하이(Epik High),46.0
프리 스타일(Free Style),45.0
윤종신,45.0
하동균,44.0
BIGBANG,44.0
알리(Ali),43.0
전람회,43.0
이승철,43.0
브로콜리너마저,42.0
에일리(Ailee),42.0
바닐라 어쿠스틱(Vanilla Acoustic),42.0
이수영,42.0
MC 몽,42.0
박기영,41.0
재주소년,40.0
김조한,38.0
박지윤,38.0
마이티 마우스(Mighty Mouth),37.0
원 모어 찬스(one more chance),37.0
이지형,37.0
카라(Kara),36.0
소찬휘,36.0
더 원(The One),36.0
장나라,36.0
보보(Bobo),36.0
이기찬,35.0
정엽,34.0
김현성,34.0
조장혁,33.0
가인 [브라운아이드걸스],33.0
럼블 피쉬(Rumble Fish),33.0
윤건,32.0
유희열,32.0
시크릿(Secret),32.0
왁스(Wax),32.0
타루(Taru),32.0
지누션(Jinusean),31.0
라디(Ra.D),31.0
김광진,31.0
윤한(Yoonhan),31.0
Lucia(심규선),31.0
포지션(Position),31.0
애즈 원(As One),31.0
임정희,30.0
옥상달빛,30.0
울랄라세션(Ulala Session),30.0
소란(Soran),30.0
패닉(Panic),29.0
박혜경,29.0
정준일 [메이트],29.0
코요태,29.0
요조(Yozoh),28.0
브이오에스(V.O.S.),28.0
케이윌(K.Will),28.0
제이레빗(J Rabbit),28.0
윤상,28.0
김경호,28.0
윤도현,27.0
클래지콰이(Clazziquai),27.0
허민,27.0
유승준,27.0
박미경,27.0
긱스(Geeks),26.0
별,26.0
조규찬,26.0
지나(G.NA),26.0
팀(Tim),26.0
루시드 폴(Lucid Fall),25.0
비(Rain),25.0
스윗소로우(SWEET SORROW),25.0
40(포티),25.0
공일오비(015B),25.0
라즈베리필드,24.0
디어 클라우드(Dear Cloud),24.0
2AM,24.0
젝스키스(Sechs Kies),24.0
빈지노(Beenzino),24.0
베란다 프로젝트(Verandah Project),24.0
원타임(1TYM),24.0
커피소년,24.0
JK 김동욱,23.0
언니네 이발관,23.0
베이비복스(Baby V.O.X),23.0
유리상자,23.0
김태우,22.0
서영은,22.0
인피니트(Infinite),22.0
좋아서 하는 밴드,22.0
유미,22.0
미쓰 에이(miss A),22.0
블락비(Block B),22.0
윈터플레이(Winterplay),22.0
H.O.T.,22.0
씨엔블루(CNBLUE),22.0
메이트(Mate),22.0
핑클(Fin.K.L),21.0
써니힐(Sunny Hill),21.0
에코(ECO),21.0
이문세,21.0
룰라(Roo'Ra),21.0
한희정,20.0
이한철,20.0
더 레이(The Ray),20.0
더 넛츠(The Nuts),20.0
포이트리(Poetree),20.0
페퍼톤스(Peppertones),20.0
이지훈,20.0
최재훈,20.0
원티드(Wanted),20.0
이은미,19.0
제이(J.ae),19.0
배치기,19.0
리즈(Leeds),19.0
엠투엠(M To M),19.0
한경일,19.0
신효범,19.0
틴 탑(Teen Top),19.0
테이크(Take),18.0
강타,18.0
유재하,18.0
김돈규,18.0
야다(Yada),18.0
아이유 ＆ 나윤권,18.0
소울사이어티(Soulciety),18.0
소울스타(Soulstar),18.0
녹색지대,18.0
동방신기(TVXQ!),18.0
자우림(Jaurim),17.0
보드카 레인(Vodka Rain),17.0
김현철,17.0
해이(Hey),17.0
달샤벳(Dal★shabet),17.0
존 박(John Park),17.0
김동희,17.0
조원선,17.0
랄라스윗(lalasweet),17.0
사운디스트(SOUNDist),16.0
혜령,16.0
장재인,16.0
알이에프(R.ef),16.0
박완규,16.0
나비(Navi),16.0
이정현,16.0
정키(Jung Key),16.0
김민종,16.0
달에닿아,15.0
양빛나라,15.0
헤리티지(Heritage),15.0
바비 킴(Bobby Kim),15.0
정인,15.0
라이너스의 담요(Linus' Blanket),15.0
MC 스나이퍼(MC Sniper),15.0
자전거 탄 풍경,15.0
스프링롤(Springloll),15.0
솔리드(Solid),15.0
짙은(Zitten),15.0
이선희,15.0
컬투(Cultwo),14.0
휘(徽),14.0
곰PD,14.0
고유진(플라워),14.0
주(Joo),14.0
차가운 체리(Cold Cherry),14.0
브이원 (V.One),14.0
브리즈(The Breeze),14.0
트랙스(Trax),14.0
JUNIEL(주니엘),14.0
트러블메이커(Troublemaker),14.0
Martin Solveig(마틴 솔베이그),14.0
자자(Zaza),14.0
Nat King Cole(냇 킹 콜),14.0
오지은,14.0
영턱스클럽(YTC),14.0
포미닛(4minute),14.0
리사(Lisa),14.0
솔솔부는 봄바람,14.0
리아(Riaa),14.0
유엔(UN),14.0
하울(HowL),14.0
성현주,14.0
신해철,14.0
박명수,14.0
김정민,14.0
이소은,14.0
코쿤벨즈(Cocoon Bells),14.0
레인보우(Rainbow),14.0
몽니(Monni),14.0
이루(Eru),13.0
동경소녀,13.0
밀크티(Milktea),13.0
정용화(Jung Yong Hwa),13.0
Susan Jacks(수잔 잭스),13.0
롤러코스터(Rollercoaster),13.0
마이 앤트 메리(My Aunt Mary),13.0
철이와 미애,13.0
안치환,13.0
임현정,13.0
줄라이(July) [뉴에이지],13.0
에코 브릿지(Eco bridge),13.0
4-49(포포리나인),13.0
소심한 오빠들(Sosimboys),13.0
장미여관,12.0
비쥬(Bijou),12.0
정재욱,12.0
비투비(BTOB),12.0
에메랄드 캐슬(Emerald Castle),12.0
원더걸스(Wonder Girls),12.0
인광,12.0
더필름(The Film),12.0
뱅크(Bank),12.0
디제이 아키(DJ AKI),11.0
토마스 쿡(Thomas Cook),11.0
박봄,11.0
하루(Haroo),11.0
달빛요정역전만루홈런,11.0
엠스트리트(M.Street),11.0
저스트(Just),11.0
한소아,11.0
씨야(SeeYa),11.0
허밍 어반 스테레오(Humming Urban Stereo),11.0
문명진,11.0
러브홀릭(Loveholic),11.0
넥스트(N.EX.T),11.0
W & Whale(더블유 앤 웨일),11.0
진주,11.0
팔로알토(Paloalto),11.0
먼데이 키즈(Monday Kiz),11.0
참깨와 솜사탕,11.0
김장훈,10.0
루싸이트 토끼,10.0
박경환,10.0
손담비,10.0
라-듀오(La-Duo),10.0
주영(JooYoung),10.0
클론(Clon),10.0
조규만,10.0
장세용,10.0
키스 미 조이(Kiss Me Joy),10.0
영준 [Brown Eyed Soul],10.0
원써겐(1sagain),10.0
팀(Team),10.0
