Artist,cnt
성시경,214.0
김동률,145.0
BIGBANG,141.0
바이브(Vibe),138.0
투애니원(2NE1),136.0
리쌍(Leessang),127.0
아이유(IU),121.0
프라이머리(Primary),118.0
싸이(Psy),116.0
이적,116.0
브라운 아이즈(Brown Eyes),113.0
다이나믹 듀오(Dynamic Duo),106.0
휘성,104.0
노을,102.0
G-DRAGON,101.0
윤하(Younha/ユンナ),98.0
어반 자카파(Urban Zakapa),96.0
윤종신,91.0
포맨,90.0
박효신,85.0
스탠딩 에그(Standing Egg),82.0
린(LYn),82.0
지오디(god),81.0
토이(Toy),74.0
옥상달빛,73.0
10cm(십센치),72.0
케이윌(K.Will),71.0
슈프림팀(Supreme Team),70.0
이문세,70.0
김범수,69.0
박정현,69.0
데이브레이크(daybreak),69.0
쿨(COOL),69.0
김연우,68.0
노리플라이(no reply),68.0
임창정,66.0
이승철,65.0
럼블 피쉬(Rumble Fish),65.0
제이레빗(J Rabbit),65.0
SG워너비,64.0
이수영,63.0
나윤권,62.0
이승기,60.0
클래지콰이(Clazziquai),60.0
조성모,58.0
빅마마(Big Mama),57.0
커피소년,56.0
박지윤,55.0
에피톤 프로젝트(Epitone Project),55.0
부활,55.0
브라운 아이드 소울(Brown Eyed Soul),54.0
빈지노(Beenzino),54.0
서영은,53.0
요조(Yozoh),53.0
페퍼톤스(Peppertones),52.0
임정희,52.0
이소라,52.0
에픽 하이(Epik High),52.0
거미,51.0
비스트(Beast),51.0
화요비,51.0
팀(Tim),50.0
허각,50.0
MC 몽,48.0
루싸이트 토끼,47.0
라디(Ra.D),47.0
에일리(Ailee),47.0
허밍 어반 스테레오(Humming Urban Stereo),46.0
엠씨 더 맥스(M.C the Max),45.0
조규찬,44.0
이은미,44.0
이기찬,44.0
2AM,44.0
알리(Ali),44.0
김태우,43.0
넬(Nell),43.0
인피니트(Infinite),43.0
러브홀릭(Loveholic),42.0
자전거 탄 풍경,42.0
김건모,42.0
장혜진,41.0
