Artist,cnt
성시경,766.0
버스커 버스커(Busker Busker),605.0
바이브(Vibe),441.0
에피톤 프로젝트(Epitone Project),394.0
아이유(IU),380.0
어반 자카파(Urban Zakapa),362.0
포맨,344.0
김동률,336.0
브라운 아이즈(Brown Eyes),315.0
휘성,306.0
다이나믹 듀오(Dynamic Duo),306.0
임창정,295.0
브라운 아이드 소울(Brown Eyed Soul),292.0
싸이(Psy),288.0
박효신,280.0
토이(Toy),277.0
박정현,272.0
김건모,268.0
쿨(COOL),257.0
프라이머리(Primary),254.0
이적,252.0
투애니원(2NE1),243.0
이승철,243.0
김연우,233.0
김범수,232.0
리쌍(Leessang),229.0
제이레빗(J Rabbit),220.0
씨스타(Sistar),206.0
윤하(Younha/ユンナ),198.0
윤종신,197.0
노리플라이(no reply),191.0
이문세,189.0
클래지콰이(Clazziquai),186.0
부활,184.0
린(LYn),180.0
나윤권,180.0
럼블 피쉬(Rumble Fish),178.0
노을,177.0
이소라,174.0
버벌진트(Verbal Jint),171.0
김광석,168.0
10cm(십센치),168.0
엠씨 더 맥스(M.C the Max),164.0
나얼(Na-Ul),161.0
어쿠스틱 콜라보(Acoustic Collabo),160.0
SG워너비,157.0
BIGBANG,155.0
슈프림팀(Supreme Team),153.0
러브홀릭(Loveholic),153.0
페퍼톤스(Peppertones),150.0
요조(Yozoh),150.0
데이브레이크(daybreak),150.0
MC 몽,148.0
스탠딩 에그(Standing Egg),147.0
비스트(Beast),147.0
가을방학,143.0
유재하,141.0
임재범,140.0
스윗소로우(SWEET SORROW),139.0
티아라(T-ara),139.0
짙은(Zitten),137.0
빈지노(Beenzino),134.0
이승기,129.0
델리 스파이스(Deli Spice),127.0
하림,127.0
제이(J.ae),127.0
케이윌(K.Will),125.0
지오디(god),125.0
이승환,120.0
라디(Ra.D),119.0
박지윤,119.0
장혜진,119.0
넬(Nell),118.0
G-DRAGON,116.0
자우림(Jaurim),116.0
화요비,116.0
프리 스타일(Free Style),115.0
이수영,115.0
브라운 아이드 걸스,114.0
공일오비(015B),113.0
소녀시대,113.0
루시드 폴(Lucid Fall),112.0
박혜경,111.0
한희정,111.0
재주소년,111.0
전람회,109.0
코요태,108.0
다비치,108.0
정엽,108.0
라이너스의 담요(Linus' Blanket),107.0
임정희,106.0
허각,106.0
지아(Zia),105.0
신승훈,104.0
에픽 하이(Epik High),103.0
이지형,101.0
서영은,100.0
한경일,98.0
옥상달빛,97.0
인피니트(Infinite),96.0
윤상,94.0
정재욱,93.0
서태지와 아이들,93.0
팀(Tim),91.0
몽니(Monni),91.0
윤건,90.0
김윤아,90.0
별,90.0
양파,89.0
김진표(JP),87.0
시크릿(Secret),86.0
유희열,85.0
울랄라세션(Ulala Session),83.0
허밍 어반 스테레오(Humming Urban Stereo),82.0
조성모,81.0
웅산,81.0
윤한(Yoonhan),81.0
원 모어 찬스(one more chance),81.0
t윤미래,79.0
빅마마(Big Mama),79.0
루싸이트 토끼,79.0
긱스(Geeks),78.0
2AM,78.0
테이(Tei),78.0
메이트(Mate),77.0
존 박(John Park),76.0
랄라스윗(lalasweet),75.0
두번째 달,75.0
원더걸스(Wonder Girls),75.0
캐스커(Casker),74.0
조규찬,73.0
서지원,73.0
더 원(The One),72.0
마이티 마우스(Mighty Mouth),71.0
이기찬,70.0
샵(S#arp),68.0
백지영,67.0
커피소년,67.0
애즈 원(As One),66.0
정준일 [메이트],65.0
박기영,65.0
자전거 탄 풍경,65.0
김태우,65.0
조장혁,64.0
Lucia(심규선),63.0
나르샤 [브라운아이드걸스],63.0
보보(Bobo),63.0
바비 킴(Bobby Kim),62.0
브로콜리너마저,62.0
김광진,62.0
카라(Kara),61.0
검정치마,61.0
소란(Soran),61.0
포지션(Position),60.0
알리(Ali),60.0
해이(Hey),60.0
장나라,59.0
김형중,59.0
유리상자,58.0
라즈베리필드,58.0
언니네 이발관,58.0
정키(Jung Key),57.0
보아(BoA),57.0
롤러코스터(Rollercoaster),57.0
에코(ECO),56.0
트러블메이커(Troublemaker),56.0
줄라이(July) [뉴에이지],56.0
박진영,55.0
윈터플레이(Winterplay),55.0
씨엔블루(CNBLUE),55.0
소규모 아카시아 밴드,55.0
에코 브릿지(Eco bridge),55.0
김현철,55.0
김종국,55.0
패닉(Panic),54.0
거미,53.0
유미,53.0
디제이 아키(DJ AKI),53.0
왁스(Wax),52.0
박완규,52.0
아이비(IVY),52.0
리즈(Leeds),51.0
타루(Taru),50.0
장재인,50.0
매드 클라운(Mad Clown),50.0
김현식,50.0
미쓰 에이(miss A),50.0
마로니에(Maronnier),49.0
유엔(UN),49.0
김조한,49.0
플라이 투 더 스카이(Fly To The Sky),49.0
에일리(Ailee),48.0
먼데이 키즈(Monday Kiz),48.0
몽라(Monla/夢兒),48.0
일기예보,48.0
박새별,47.0
에프엑스(f(x)),46.0
프렐류드(Prelude),45.0
이한철,44.0
동방신기(TVXQ!),44.0
정재형,44.0
MC 스나이퍼(MC Sniper),44.0
이정,44.0
바람에 오르다,44.0
조정현,44.0
김지수,43.0
달콤한 소금,43.0
강타,43.0
바닐라 어쿠스틱(Vanilla Acoustic),43.0
정기고(Junggigo),43.0
버블 시스터즈(Bubble Sisters),43.0
토마스 쿡(Thomas Cook),42.0
터보(Turbo),42.0
브이원 (V.One),42.0
레인보우(Rainbow),42.0
장윤주,41.0
더 클래식(The Classic),41.0
정인,41.0
애프터 스쿨(After School) ,41.0
마이 앤트 메리(My Aunt Mary),41.0
포터블 그루브 나인(Portable Groove 09),41.0
쥬얼리(Jewelry),41.0
양빛나라,41.0
보드카 레인(Vodka Rain),41.0
신화,41.0
모리(Morrie),40.0
써니힐(Sunny Hill),40.0
박선주,40.0
스웨터(Sweater),40.0
포미닛(4minute),40.0
알렉스(Alex) [클래지콰이],40.0
네스티요나(Nastyona),40.0
스프링롤(Springloll),39.0
베란다 프로젝트(Verandah Project),39.0
이바디(Ibadi),39.0
나비(Navi),38.0
빅 베이비 드라이버(Big Baby Driver),38.0
조원선,38.0
더 블루(The Blue),38.0
조pd(ZoPD),38.0
원타임(1TYM),38.0
란(Ran),37.0
서연,37.0
김현정,37.0
하동균,37.0
푸른 하늘,37.0
임현정,37.0
나희경 [Jazz],36.0
더필름(The Film),36.0
뱅크(Bank),36.0
솔리드(Solid),36.0
디어 클라우드(Dear Cloud),36.0
양요섭 [비스트],36.0
더 넛츠(The Nuts),35.0
에이핑크(Apink),35.0
모던쥬스(Modern Juice),35.0
크레용팝(Crayon Pop),35.0
룰라(Roo'Ra),34.0
박미경,34.0
곰PD,33.0
야광토끼(Neon Bunny),33.0
뜨거운 감자(Hot Potato),33.0
스윙체어(Swingchair),33.0
걸스데이(Girl's Day),33.0
아키버드(Aquibird),32.0
영턱스클럽(YTC),32.0
젠틀 레인(Gentle Rain),32.0
현아 [포미닛],32.0
리사(Lisa),32.0
투투(Two Two),32.0
이은미,32.0
김민우,32.0
허민,31.0
엄정화,31.0
비(Rain),31.0
비쥬(Bijou),31.0
핑클(Fin.K.L),31.0
유피(UP),30.0
러브앤팝(Love & Pop),30.0
피노다인(Pinodyne),30.0
손성제,30.0
에이치(H),30.0
김민종,30.0
소울스타(Soulstar),30.0
샤이니(SHINee),29.0
모세(Mose),29.0
에이트(8Eight),29.0
김동희,29.0
신용재 [4men],29.0
버즈(Buzz),29.0
로맨틱 펀치(Romantic Punch),29.0
하와이,29.0
오현란,29.0
이석훈 [SG워너비],28.0
카밀라(Camilla),28.0
듀스(Deux),28.0
센티멘탈 시너리(Sentimental Scenery),28.0
스윗바이러스(Sweet Virus),28.0
서인국,28.0
씨야(SeeYa),28.0
도원경,28.0
노이즈(Noise),28.0
윤도현,28.0
이상순 ,28.0
인디고(Indigo),28.0
신해철,28.0
아이 투 아이(Eye To Eye),28.0
이효리,28.0
손승연,28.0
박학기,28.0
장세용,28.0
트랙 마켓(Track Market),27.0
브이오에스(V.O.S.),27.0
미스티 블루(Misty Blue),27.0
스웨덴세탁소,27.0
블루앤블루(Blue & Blue),27.0
이오공감,27.0
박주원,27.0
해브어티(Have A Tea),27.0
재지팩트(Jazzyfact),27.0
Simon Dominic(사이먼 도미닉),27.0
키네틱플로우(K-Flow),26.0
신성우,26.0
팔로알토(Paloalto),26.0
장연주,26.0
양양(YangYang),26.0
푸딩(Pudding),26.0
박보람,25.0
변진섭,25.0
Ab 에비뉴,25.0
혜령,25.0
모이다 밴드(Moida Band),25.0
김돈규,25.0
아워멜츠(Hourmelts) ,25.0
필(Feel),24.0
영준 [Brown Eyed Soul],24.0
데미캣(Demicat),24.0
김우주,24.0
린애,24.0
악동뮤지션(AKMU),24.0
동경소녀,24.0
Nat King Cole(냇 킹 콜),24.0
크루셜스타(Crucial Star),23.0
불독맨션(Bulldogmansion),23.0
코쿤벨즈(Cocoon Bells),23.0
화이트(W.H.I.T.E.),23.0
YB,23.0
하이투힘(Hi to him),23.0
젝스키스(Sechs Kies),23.0
S.E.S.,23.0
더더(THETHE),23.0
박명수,23.0
유아시대,23.0
아소토 유니온(Asoto Union),23.0
보싸다방(Bossa Dabang),23.0
아이유 ＆ 나윤권,23.0
제이워크(J-Walk),23.0
양정승(Kiroy Y),23.0
길미,23.0
이진우 [인디],23.0
소히(Sorri),22.0
클릭비(Click-B),22.0
W & Whale(더블유 앤 웨일),22.0
남경윤,22.0
DJ DOC,22.0
소울사이어티(Soulciety),22.0
이루펀트(Eluphant),22.0
최재훈,22.0
지나(G.NA),22.0
서인영,21.0
손담비,21.0
루그(Lug),21.0
신혜성,21.0
우쿨렐레 피크닉(Ukulele Picnic),21.0
Susan Jacks(수잔 잭스),21.0
김보경,21.0
오렌지캬라멜(Orange Caramel),21.0
알이에프(R.ef),21.0
Kricc(크릭),21.0
이상은(Lee Tzsche),21.0
4-49(포포리나인),21.0
차가운 체리(Cold Cherry),21.0
엠투엠(M To M),21.0
앨리스 인 네버랜드(Alice In Neverland),21.0
조규만,21.0
문명진,21.0
Caramel espreSSo(카라멜 에스프레소),20.0
비스윗(Besweet),20.0
이소은,20.0
자자(Zaza),20.0
하은,19.0
조하문,19.0
주(Joo),19.0
페이지(Page),19.0
주윤하 [보드카레인],19.0
주영(JooYoung),19.0
트리플 이펙트(Triple Effect),19.0
원티드(Wanted),19.0
디아(Dia) [키스 & 크라이],19.0
파티스트릿(Party Street),19.0
블록(Block),19.0
잠바(Jamba),19.0
투엘슨(2LSON),19.0
김그림,19.0
한충완,19.0
거북이,19.0
블락비(Block B),19.0
밀크티(Milktea),18.0
클라우드 쿠쿠랜드(Cloud Cuckoo Land),18.0
범키(Bumkey),18.0
컬투(Cultwo),18.0
유발이의 소풍,18.0
H.O.T.,18.0
로이킴,18.0
브라더수(BrotherSu),18.0
원써겐(1sagain),18.0
이루(Eru),18.0
동물원,18.0
40(포티),18.0
더 레이(The Ray),18.0
김현성,18.0
BMK,17.0
산이(San E),17.0
흐른,17.0
채연,17.0
체리필터(Cherry Filter),17.0
메이비(MayBee),17.0
심현보,17.0
코나(Kona),17.0
김민규 [스위트피],17.0
강수지,17.0
몰릭(MhOlic),17.0
도나웨일(Donawhale),16.0
주형진,16.0
좋아서 하는 밴드,16.0
조정치,16.0
소설,16.0
텐시러브(Tensi Love),16.0
엠스트리트(M.Street),16.0
라 벤타나(La Ventana),16.0
비원에이포(B1A4),16.0
김성호,16.0
이현우,16.0
여행스케치,16.0
인순이,16.0
수상한 커튼,16.0
박상민,16.0
생각의 여름,16.0
견우,16.0
라-듀오(La-Duo),15.0
하울(HowL),15.0
최용준,15.0
투개월,15.0
넥스트(N.EX.T),15.0
김정민,15.0
규현(KYUHYUN),15.0
포이트리(Poetree),15.0
테테(Tete),15.0
더블케이(Double K),15.0
