"","Title","freq"
"123","Nike Shoes (feat. Dynamic Duo)%by%빈지노(Beenzino)",136
"124","그녀와의 이별%by%김현정",136
"125","그런가봐요...%by%브이원 (V.One)",136
"126","커피를 마시고 (Main ver.)%by%어반 자카파(Urban Zakapa)",136
"127","그녀를 사랑해줘요%by%하동균",135
"128","사랑의 時%by%엠씨 더 맥스(M.C the Max)",133
"129","남과 여 (feat. 김범수)%by%박선주",132
"130","추억은 사랑을 닮아%by%박효신",132
"131","늦은 후회%by%보보(Bobo)",131
"132","못해 (feat. 美)%by%포맨",131
"133","연애 (feat. Hanyi)%by%프리 스타일(Free Style)",131
"134","고백%by%뜨거운 감자(Hot Potato)",130
"135","다시 만난 날%by%휘성",130
"136","사랑했나봐%by%윤도현",130
"137","너에게 쓰는 편지%by%MC 몽",129
"138","? (물음표) (feat. 최자 Of 다이나믹듀오, Zion.T)%by%프라이머리(Primary)",128
"139","홀로 (feat. 김나영)%by%정키(Jung Key)",128
"140","UGLY%by%투애니원(2NE1)",127
"141","사랑하기 때문에%by%유재하",127
"142","High High%by%G-DRAGON",126
"143","꽃피는 봄이오면%by%BMK",126
"144","넌 이별 난 아직 (With 한소현 Of 3rd Coast)%by%스탠딩 에그(Standing Egg)",126
"145","화장을 고치고%by%왁스(Wax)",126
"146","회상 (December)%by%터보(Turbo)",126
"147","칵테일 사랑%by%마로니에(Maronnier)",125
"148","Y (Please Tell Me Why)%by%프리 스타일(Free Style)",123
"149","라라라%by%SG워너비",123
"150","Missing You%by%플라이 투 더 스카이(Fly To The Sky)",122
"151","순정(純情) (London Boys의 I'm Gonna Give My Heart 전주 인용)%by%코요태",122
"152","MONSTER%by%BIGBANG",121
"153","가지마 가지마%by%브라운 아이즈(Brown Eyes)",121
"154","바보%by%박효신",121
"155","챔피언%by%싸이(Psy)",121
"156","Hello%by%허각",120
"157","I Need You%by%허각",120
"158","...사랑했잖아...%by%린(LYn)",119
"159","내게 오는 길 (Bonus Track)%by%성시경",119
"160","넋%by%40(포티)",119
"161","꽃송이가%by%버스커 버스커(Busker Busker)",118
"162","이미 슬픈 사랑%by%야다(Yada)",118
"163","한여름날의 꿈 (duet with 옥주현)%by%SG워너비",118
"164","좋은사람%by%박효신",117
"165","눈물 (feat. 유진 Of 더 씨야)%by%리쌍(Leessang)",116
"166","슬퍼지려 하기 전에%by%쿨(COOL)",116
"167","12월 32일%by%별",115
"168","Beautiful Day%by%어반 자카파(Urban Zakapa)",115
"169","Tears%by%소찬휘",115
"170","내가 너의 곁에 잠시 살았다는 걸%by%김연우",115
"171","점점%by%브라운 아이즈(Brown Eyes)",115
"172","I'm In Love%by%나르샤 [브라운아이드걸스]",114
"173","되돌리다%by%이승기",113
"174","씨스루 (feat. 개코, Zion.T)%by%프라이머리(Primary)",113
"175","오아시스 (feat. 이재훈)%by%브라운 아이드 걸스",113
"176","Baby Baby%by%포맨",112
"177","Bubble Pop!%by%현아 [포미닛]",112
"178","Love Blossom (러브블러썸)%by%케이윌(K.Will)",112
"179","눈물샤워 (feat .에일리)%by%배치기",112
"180","눈물이 안났어%by%임정희",112
"181","아로하%by%쿨(COOL)",112
"182","어떻게 사랑이 그래요%by%이승환",112
"183","어제처럼%by%제이(J.ae)",112
"184","전부 너였다%by%노을",112
"185","Fiction%by%비스트(Beast)",111
"186","Missing You (feat. 김윤아 Of 자우림)%by%G-DRAGON",111
"187","Second First Date (feat. Ritha K) (Bonus Track From Jazz Set)%by%디제이 아키(DJ AKI)",111
"188","내꺼하자%by%인피니트(Infinite)",111
"189","봄을 그리다%by%어반 자카파(Urban Zakapa)",110
"190","Lonely%by%투애니원(2NE1)",109
"191","달아요%by%박정현",109
"192","빗소리%by%윤하(Younha/ユンナ)",109
"193","파도%by%유엔(UN)",109
"194","Love Day%by%양요섭 [비스트]",108
"195","Think About' Chu%by%아소토 유니온(Asoto Union)",108
"196","공원에서%by%유희열",108
"197","다시 와주라%by%바이브(Vibe)",108
"198","바래진 기억에%by%박지윤",108
"199","I Don't Care%by%투애니원(2NE1)",107
"200","날 닮은 너%by%임창정",107
"201","오래된 노래%by%김동률",107
"202","한사람을 위한 마음%by%럼블 피쉬(Rumble Fish)",107
"203","Ballerino(발레리노)%by%리쌍(Leessang)",106
"204","Couple Song (feat. Kelley)%by%라디(Ra.D)",106
"205","Hot Summer%by%에프엑스(f(x))",106
"206","러브 레시피%by%거미",106
"207","사랑은 맛있다 ♡%by%휘성",106
"208","원하고 원망하죠%by%애즈 원(As One)",106
"209","좋아 (JOAH)%by%박재범(Jay Park)",106
"210","좋아해%by%요조(Yozoh)",106
"211","정%by%영턱스클럽(YTC)",105
