Date,id,meanT,maxT,minT,dewPoint,avgH,maxH,minH,pressure,avgW,maxW,visibleD,wind_chill,heat_index,discomfort_index
2014-12-02,2994,-5,-2,-8,-19,36,55,14,1022.68,17,33,9.9,-11.0522727602,-2.0,38.8192
2014-12-03,2995,-4,-1,-8,-10,65,86,40,1019.97,8,26,8.5,-10.3336569029,-1.0,35.5515
2014-12-04,2996,-4,-1,-8,-17,40,69,19,1020.71,9,20,10.0,-9.57388717332,-1.0,39.374
2014-12-05,2997,-6,-3,-10,-19,39,54,28,1021.71,13,22,10.0,-11.0892105113,-3.0,37.1347
2014-12-06,2998,-4,0,-9,-16,44,58,26,1024.29,7,22,10.0,-10.4677105113,0.0,40.008
2014-12-07,2999,-4,1,-8,-16,41,58,28,1026.96,5,9,10.0,-7.44838579701,1.0,41.6529
2014-12-08,3000,-2,2,-6,-13,49,80,20,1029.96,8,20,5.8,-8.33088717332,2.0,41.8832
2014-12-09,3001,-3,2,-8,-15,45,68,20,1035.33,5,13,,-8.39354628042,2.0,42.376
2014-12-10,3002,-1,4,-6,-7,60,87,36,1025.21,5,11,6.0,-6.71426953916,4.0,43.336
2014-12-11,3003,-2,3,-6,-9,58,87,37,1023.17,12,28,6.7,-9.31110336578,3.0,42.1586
2014-12-12,3004,-4,0,-7,-10,66,86,30,1022.91,6,13,6.7,-7.77204628042,0.0,36.862
2014-12-13,3005,-6,-2,-9,-16,45,80,26,1026.42,10,22,9.1,-10.4677105113,-2.0,37.354
2014-12-14,3006,-6,0,-11,-12,54,74,23,1028.9,5,13,7.6,-10.2580462804,0.0,38.578
2014-12-15,3007,0,3,-3,-3,77,87,56,1024.59,8,22,4.7,-6.7387105113,3.0,40.0059
2014-12-16,3008,-3,2,-8,-13,52,87,31,1019.42,18,33,8.5,-11.0522727602,2.0,41.5136
2014-12-17,3009,-8,-5,-11,-22,32,41,24,1024.92,22,41,10.0,-13.5953192586,-5.0,36.09
2014-12-18,3010,-8,-4,-12,-23,33,53,19,1033.67,10,18,,-11.7636412514,-4.0,37.0342
2014-12-19,3011,-4,1,-10,-14,45,70,27,1028.26,8,17,8.2,-10.3620042301,1.0,41.1205
2014-12-20,3012,-1,4,-6,-8,59,87,30,1020.88,15,26,7.0,-9.09065690294,4.0,43.4394
2014-12-21,3013,-6,-3,-9,-15,52,68,22,1023.56,6,22,9.0,-10.4677105113,-3.0,34.8896
2014-12-22,3014,-5,1,-11,-12,60,74,41,1023.93,6,22,7.4,-11.7107105113,1.0,39.124
2014-12-23,3015,-2,5,-8,-9,59,74,39,1025.38,7,15,8.7,-8.77665285046,5.0,44.8335
2014-12-24,3016,2,6,-4,-5,61,87,35,1021.62,8,24,5.6,-7.61247458998,6.0,46.0604
2014-12-25,3017,-2,2,-6,-14,44,59,28,1027.88,9,22,,-8.6032105113,2.0,42.4992
2014-12-26,3018,-5,0,-10,-16,42,59,21,1030.75,5,13,,-9.63654628042,0.0,40.294
2014-12-27,3019,-3,2,-8,-13,52,73,26,1030.52,5,11,7.8,-7.95726953916,2.0,41.5136
2014-12-28,3020,-2,3,-6,-9,58,74,38,1022.67,5,13,6.9,-7.15054628042,3.0,42.1586
2014-12-29,3021,1,6,-4,-4,67,81,49,1014.88,5,13,2.9,-5.90754628042,6.0,45.5588
2014-12-30,3022,0,5,-4,-7,64,87,29,1016.62,7,17,3.3,-6.63300423006,5.0,44.366
2014-12-31,3023,-2,2,-6,-13,48,74,22,1018.04,12,33,7.5,-9.80927276024,2.0,42.0064
